Promoter Name	Absolute-Plus-1-Position	Component-Of	Regulated-By
PM0-44396	240329	COLI-K12-4	
PM00425	2909717	COLI-K12-59 // TU0-6557	
PM0-9621	2185903	COLI-K12-44 // TU0-13513	REG0-10468 // REG0-10467
PM0-46539	4107522	COLI-K12-84 // TU0-45239	
PM5	1453865	COLI-K12-29 // TU5	REG0-12665 // REG0-12664 // REG0-12663 // REG0-5099 // REG0-5098 // REG0-5097
PM0-10525	4158394	COLI-K12-85 // TU0-8485	REG0-10697 // REG0-10696
PM0-44786	1209672	COLI-K12-24	
PM0-44929	1506154	COLI-K12-30	
PM0-46085	4563734	COLI-K12-93	
PM00131	1016498	COLI-K12-20 // TU00092	REG0-5476 // REG0-5475
PM0-44922	1496776	COLI-K12-30	
PM0-36254	3389496	COLI-K12-69 // TU0-8759	REG0-11101
PM0-45476	2910860	COLI-K12-59	
PM0-44933	1515415	COLI-K12-31	
PM0-45336	2455688	COLI-K12-50	
PM0-46486	3086577	COLI-K12-63 // TU0-45188	REG0-14912 // REG0-14911 // REG0-14910
PM00172	2934119	COLI-K12-60 // TU00128	REG0-5598 // REG0-5597 // REG0-5596
PM0-45665	3298174	COLI-K12-67	
PM00143	754958	COLI-K12-15 // TU00524	REG0-5862 // REG0-5861 // REG0-5860 // REG0-5859 // REG0-5858 // REG0-5857 // REG0-5856 // REG0-5855
PM0-44468	399444	COLI-K12-8	
PM0-45043	1770930	COLI-K12-36	
PM0-9249	1313991	COLI-K12-26 // TU0-8813	REG0-13435 // REG0-13434 // REG0-12547 // REG0-12546 // REG0-12545 // REG0-12544 // REG0-6608
PM0-10011	1018459	COLI-K12-20 // TU0-8677	
PM00084	1004732	COLI-K12-20 // TU00061	REG0-9391 // REG0-5344
PM0-44617	800709	COLI-K12-16	
PM0-46354	3696364	COLI-K12-75 // TU0-14316	
PM0-10479	3168562	COLI-K12-64 // TU0-14791	
PM0-45337	2455654	COLI-K12-50	
PM0-9986	503295	COLI-K12-10 // TU0-12952	
PM0-10166	4031147	COLI-K12-82 // TU0-14056	
PM0-46450	1302806	COLI-K12-26 // TU0-45147	
PM0-46104	4607868	COLI-K12-94	
PM0-46502	4097711	COLI-K12-83 // TU0-45202	REG0-14950 // REG0-14949 // REG0-14948 // REG0-14947 // REG0-14946 // REG0-14945 // REG0-14944
PM0-10556	787670	COLI-K12-16 // TU0-14819	
PM0-10064	1928865	COLI-K12-39 // TU0-13435	
PM0-8750	2065874	COLI-K12-42 // TU00252	
PM0-45484	2943207	COLI-K12-60	
PM0-10053	1724679	COLI-K12-35 // TU0-13356	
PM0-46495	1064037	TU0-45195 // COLI-K12-21	REG0-14923
PM0-45436	2758660	COLI-K12-56	
PM0-10002	919103	COLI-K12-18 // TU0-8513	
PM0-9892	312805	COLI-K12-6 // TU0-12881	REG0-9413
PM0-9994	674993	COLI-K12-13 // TU0-8560	
PM00222	1787161	COLI-K12-36 // TU00162	REG0-5402
PM00553	156235	COLI-K12-3 // TU00263	REG0-5619
PM0-45927	4024873	COLI-K12-82	
PM0-44671	949574	COLI-K12-19	
PM0-44723	1101755	COLI-K12-22	
PM0-45119	1921957	COLI-K12-39	
PM0-45526	3024260	COLI-K12-61	
PM0-45666	3298207	COLI-K12-67	
PM0-3841	161515	COLI-K12-3 // TU00358	REG0-9478
PM0-44362	148920	COLI-K12-3	
PM0-10281	2153646	COLI-K12-44 // TU0-13503	
PM0-45748	3526246	COLI-K12-72	
PM0-46432	4505260	COLI-K12-92 // TU0-44209	
PM0-44491	490873	COLI-K12-10	
PM0-9741	63588	COLI-K12-1 // TU0-14488	
PM0-5982	3658345	COLI-K12-74 // TU0-5682	REG0-11489 // REG0-10996 // REG0-10959 // REG0-10927 // REG0-9064 // REG0-9063 // REG0-6176 // REG0-6175 // REG0-6174 // REG0-6173 // REG0-6172 // REG0-6171
PM0-4644	1359373	COLI-K12-27 // TU0-4404	
PM0-1222	4043377	COLI-K12-82 // TU0-1062	
PM0-4844	1942634	COLI-K12-39 // TU0-4604	REG0-12890 // REG0-6230
PM0-45672	3301279	COLI-K12-67	
PM0-45120	1922084	COLI-K12-39	
PM0-1621	3683498	COLI-K12-75 // TU0-1461	REG0-5365 // REG0-5364 // REG0-5363
PM00351	813152	COLI-K12-16 // TU0-7044	REG0-12976 // REG0-12975 // REG0-12973 // REG0-12967
PM0-46524	2524910	TU0-45226 // COLI-K12-51	REG0-15010 // REG0-15009
PM506	3560756	COLI-K12-72 // TU404	
PM0-44834	1315397	COLI-K12-26	
PM0-44576	676637	COLI-K12-13	
PM0-46040	4441321	COLI-K12-90	
PM0-7502	3808238	COLI-K12-77 // TU0-7161	
PM0-9520	243406	COLI-K12-4 // TU0-8793	REG0-5401 // REG0-5400
PM0-44520	558803	COLI-K12-11	
PM0-45417	2724033	COLI-K12-55	
PM0-46025	4391584	COLI-K12-89	
PM0-45026	1739878	COLI-K12-35	
PM0-44389	233982	COLI-K12-4	
PM0-8900		TU0-8464	
PM0-44805	1234767	COLI-K12-25	
PM0-45683	3336954	COLI-K12-68	
PM0-8860	3540057	COLI-K12-72 // TU00269	REG0-15742 // REG0-10912 // REG0-6579 // REG0-6578
PM0-45635	3250974	COLI-K12-66	
PM0-10193	4470946	COLI-K12-91 // TU0-14169	REG0-13397
PM00533	1982465	COLI-K12-40 // TU00312	
PM0-5261	3244857	COLI-K12-66 // TU0-5021	REG0-11525 // REG0-11524 // REG0-11523 // REG0-6228 // REG0-6227 // REG0-6226
PM0-1728	1972716	COLI-K12-40 // TU0-1547	REG0-6416
PM0-45980	4213120	COLI-K12-86	
PM0-3847	1074026	COLI-K12-21 // TU0-3645	REG0-11535 // REG0-9267 // REG0-6283 // REG0-6282 // REG0-6281
PM0-36231	855947	COLI-K12-17 // TU0-8503	REG0-12850 // REG0-10478 // REG0-11105
PM0-8241	1601460	COLI-K12-32 // TU0-7861	REG0-10599 // REG0-5296 // REG0-5295
PM0-45265	2266164	COLI-K12-46	
PM0-44442	320116	COLI-K12-6	
PM00150	3384313	COLI-K12-69 // TU00108	REG0-13465 // REG0-13464 // REG0-13463 // REG0-10431 // REG0-5881 // REG0-5880 // REG0-5879
PM0-44401	247624	COLI-K12-5	
PM0-9720	3645238	COLI-K12-74 // TU0-13957	
PM0-9605	3700136	COLI-K12-75 // TU0-13973	
PM0-44800	1226478	COLI-K12-25	
PM0-45262	2263836	COLI-K12-46	
PM0-46027	4416935	COLI-K12-90	
PM0-9775		TU0-13510	
PM0-9597	1923064	COLI-K12-39 // TU0-8508	
PM0-45000	1669630	COLI-K12-34	
PM180	4233722	COLI-K12-86 // TU0-6444	REG0-9469
PM0-45963	4112312	COLI-K12-84	
PM0-46077	4524140	COLI-K12-92	
PM0-45633	3250472	COLI-K12-66	
PM00520	953741	COLI-K12-19 // TU00382	
PM0-10129	3239863	COLI-K12-66 // TU0-13860	
PM-8764	1825688	COLI-K12-37 // TU-8381	REG0-9159 // REG0-6558 // REG0-6557
PM0-45184	2059722	COLI-K12-42	
PM0-9795	2000410	COLI-K12-40 // TU0-14515	REG0-12375
PM0-45547	3099593	COLI-K12-63	
PM935	1668591	COLI-K12-34 // TU790	REG0-4842 // REG0-4841
PM0-2101	2791172	COLI-K12-57 // TU0-1921	REG0-6406
PM00177	1699313	COLI-K12-34 // TU00132	REG0-5603 // REG0-5602 // REG0-5599
PM0-10098	2639402	COLI-K12-54 // TU0-14647	
PM0-45827	3712060	COLI-K12-75	
PM0-46319	2278397	COLI-K12-46 // TU0-42565	
PM0-7521	3853257	COLI-K12-78 // TU0-7181	
PM0-10435	4474064	COLI-K12-91 // TU0-14171	REG0-10513
PM00638	2709632	COLI-K12-55 // TU00526	REG0-12637 // REG0-12636 // REG0-12635
PM0-44429	311482	COLI-K12-6	
PM0-44945	1532858	COLI-K12-31	
PM0-44917	1495133	COLI-K12-30	
PM643	3270592	COLI-K12-66 // TU543	REG0-4958 // REG0-4957 // REG0-4956 // REG0-4955
PM0-45487	2949066	COLI-K12-60	
PM0-44368	157031	COLI-K12-3	
PM0-44725	1105330	COLI-K12-22	
PM0-46039	4437617	COLI-K12-90	
PM0-44550	644055	COLI-K12-13	
PM0-44696	1029980	COLI-K12-21	
PM0-10184	4370976	COLI-K12-89 // TU0-14674	
PM0-44509	531362	COLI-K12-10	
PM0-36143	2315975	COLI-K12-47 // TU0-36403	
PM0-45865	3793834	COLI-K12-77	
PM0-46079	4537703	COLI-K12-92	
PM00521	953851	COLI-K12-19 // TU00383	
PM0-45470	2900409	COLI-K12-59	
PM0-9624	2734295	COLI-K12-55 // TU0-14423	
PM0-1781	3373620	COLI-K12-69 // TU0-42543 // TU0-1601	REG0-9383 // REG0-9382 // REG0-9381 // REG0-6422 // REG0-6421 // REG0-6420 // REG0-6419
PM0-44750	1167407	COLI-K12-23	
PM0-9127	1273760	COLI-K12-26 // TU0-8691	REG0-6602
PM0-45027	1743458	COLI-K12-35	
PM0-45539	3089659	COLI-K12-63	
PM0-9964	194784	COLI-K12-3 // TU0-14339	
PM0-44608	785339	COLI-K12-16	
PM0-45578	3149483	COLI-K12-64	
PM0-45326	2423614	COLI-K12-49	
PM0-1348	2731332	COLI-K12-55 // TU0-1188	REG0-16323
PM0-44630	842192	COLI-K12-17	
PM0-45681	3334855	COLI-K12-68	
PM0-45813	3656039	COLI-K12-74	
PM0-45577	3149498	COLI-K12-64	
PM0-10243	1930765	COLI-K12-39 // TU0-13438	REG0-9605
PM0-45759	3532538	COLI-K12-72	
PM721	4366843	COLI-K12-89 // TU621	
PM0-45529	3033039	COLI-K12-62	
PM00556	10644	COLI-K12-0 // TU00405	
PM0-45341	2462982	COLI-K12-50	
PM0-44591	729037	COLI-K12-14	
PM0-9512	3455531	COLI-K12-70 // TU0-13913	REG0-10784 // REG0-5392
PM0-45862	3783681	COLI-K12-77	
PM00137	3653936	COLI-K12-74 // TU00096	REG0-12883 // REG0-12882 // REG0-12881 // REG0-12191 // REG0-10971 // REG0-10957 // REG0-10923 // REG0-10819 // REG0-10000 // REG0-9998 // REG0-5486
PM0-44678	964105	COLI-K12-19	
PM0-10051	1714327	COLI-K12-35 // TU0-13353	
PM0-44620	800552	COLI-K12-16	
PM00561		TU00412	
PM0-44737	1126604	COLI-K12-23	
PM00606	4277447	COLI-K12-87 // TU00456	REG0-12110 // REG0-11071 // REG0-11070 // REG0-4978
PM1029	427205	COLI-K12-8 // TU869	
PM0-44570	676572	COLI-K12-13	
PM0-4443	4439286	COLI-K12-90 // TU0-6362	
PM0-45928	4024965	COLI-K12-82	
PM0-46038	4437671	COLI-K12-90	
PM0-45089	1877722	COLI-K12-38	
PM00530	1063833	COLI-K12-21 // TU00387	
PM0-45781	3602252	COLI-K12-73	
PM0-45951	4079096	COLI-K12-83	
PM0-45024	1739855	COLI-K12-35	
PM0-10046	1637846	COLI-K12-33 // TU0-13319	
PM0-45858	3776420	COLI-K12-77	
PM0-46271	1063919	COLI-K12-21 // TU0-42533	REG0-11758
PM0-45974	4196719	COLI-K12-85	
PM00117	3888411	COLI-K12-79 // TU0-42514 // TU00085	REG0-5458 // REG0-5457 // REG0-5456
PM0-45361	2518384	COLI-K12-51	
PM0-46577	3073823	TU0-45274 // TU0-45273 // COLI-K12-62	REG0-15234 // REG0-15233
PM0-36250	2968993	COLI-K12-60 // TU0-13746	
PM0-8907	1092523	COLI-K12-22 // TU0-8471	REG0-12198 // REG0-6598 // REG0-6597
PM-8813	1538687	COLI-K12-31 // TU-8427	
PM00428	2959011	COLI-K12-60 // TU0-13744 // TU0-6683	REG0-11831
PM0-45264	2265413	COLI-K12-46	
PM682	1349129	COLI-K12-27 // TU582	
PM0-4261	1346843	COLI-K12-27 // TU0-4021	REG0-11488 // REG0-9262
PM342	4042030	COLI-K12-82 // TU262	
PM0-36221	118663	COLI-K12-2 // TU0-12812	REG0-11096
PM0-45754	3526403	COLI-K12-72	
PM0-8845	1705755	COLI-K12-34 // TU0-8458	
PM0-36211	3343299	COLI-K12-68 // TU0-36433	
PM0-5167	3546449	COLI-K12-72 // TU0-4927	REG0-6213 // REG0-6212 // REG0-6211
PM00664	1031719	COLI-K12-21 // TU00509	REG0-5307
PM0-46351	1335090	COLI-K12-27 // TU0-13198	REG0-12294
PM0-7322	1641715	TU0-6982 // COLI-K12-33	
PM0-10072	2071503	COLI-K12-42 // TU0-14636	
PM0-46578	4166367	COLI-K12-85 // TU0-45275	REG0-15246 // REG0-15245 // REG0-15244 // REG0-15243 // REG0-15242 // REG0-15241 // REG0-15240 // REG0-15239 // REG0-15238 // REG0-15237 // REG0-15236 // REG0-15235
PM0-8842	742798	COLI-K12-15 // TU0-8455	
PM0-45533	3043256	COLI-K12-62	
PM0-46422	3504043	COLI-K12-71 // TU0-44199	
PM0-45602	3185311	COLI-K12-65	
PM0-8909	1712671	COLI-K12-35 // TU0-8473	REG0-12880 // REG0-6535
PM0-46476	792081	TU0-45179 // TU0-45178 // TU0-45177 // TU0-45176 // COLI-K12-16	REG0-14876 // REG0-14875 // REG0-14874 // REG0-14873 // REG0-14872 // REG0-14871 // REG0-14870 // REG0-14869 // REG0-14868 // REG0-14867
PM0-45286	2328199	COLI-K12-47	
PM0-45604	3192054	COLI-K12-65	
PM0-45073	1848711	COLI-K12-37	
PM0-45583	3162851	COLI-K12-64	
PM0-10095	2578608	COLI-K12-52 // TU0-14644	REG0-11266
PM0-1681	2003676	COLI-K12-41 // TU0-1521	REG0-11502 // REG0-6413 // REG0-6412
PM00560	4540667	COLI-K12-92 // TU00410	REG0-12618 // REG0-12617 // REG0-12616 // REG0-11583 // REG0-9082 // REG0-9080 // REG0-9079 // REG0-9078 // REG0-9077 // REG0-9076 // REG0-6020
PM0-44640	859100	COLI-K12-17	
PM0-45919	4005833	COLI-K12-81	
PM0-44843	1330757	COLI-K12-27	
PM0-15	3646112	COLI-K12-74 // TU0-14	REG0-6590
PM0-44832	1312414	COLI-K12-26	
PM0-9577	2426837	COLI-K12-49 // TU0-14415	REG0-9162 // REG0-9112 // REG0-5835
PM0-44660	922750	COLI-K12-18	
PM0-45837	3720810	COLI-K12-76	
PM0-45590	3169291	COLI-K12-64	
PM0-10020	1147338	COLI-K12-23 // TU0-1	
PM0-44849	1339193	COLI-K12-27	
PM0-44991	1648438	TU0-13329 // COLI-K12-33	
PM00641	3377569	COLI-K12-69 // TU00361	
PM00167	3109175	COLI-K12-63 // TU00124	REG0-11134 // REG0-5610
PM00487	4128466	COLI-K12-84 // TU0-2708	
PM0-45133	1945366	COLI-K12-39	
PM0-44515	557006	COLI-K12-11	
PM0-44378	193335	COLI-K12-3	
PM00225	612667	COLI-K12-12 // TU00163	REG0-5843 // REG0-5842 // REG0-5841 // REG0-5840 // REG0-5839 // REG0-5838
PM0-46032	4433148	COLI-K12-90	
PM0-46064	4504020	COLI-K12-92 // TU0-14183	REG0-11924 // REG0-11923 // REG0-11922
PM0-10009	989044	COLI-K12-20 // TU0-13093	
PM0-44883	1420170	COLI-K12-29	
PM0-9564	2591560	COLI-K12-53 // TU0-14404	
PM0-45553	3111211	COLI-K12-63	
PM0-44935	1517246	COLI-K12-31	
PM0-36235	1169033	COLI-K12-23 // TU0-8685	REG0-11351 // REG0-11106
PM0-46472	1031984	COLI-K12-21 // TU0-45171	REG0-14862 // REG0-14861 // REG0-14860 // REG0-14859 // REG0-14858 // REG0-14857 // REG0-14856 // REG0-14855 // REG0-14854 // REG0-14853 // REG0-14852
PM0-45614	3210568	COLI-K12-65	
PM0-46313	1961935	COLI-K12-40 // TU0-13445	REG0-11982
PM00327	180845	COLI-K12-3 // TU584	REG0-4884 // REG0-4883 // REG0-4882 // REG0-4881
PM00163	4436629	COLI-K12-90 // TU00120	REG0-5444
PM0-45841	3727797	COLI-K12-76	
PM0-45258	2251653	COLI-K12-46	
PM197	3146363	COLI-K12-64 // TU00289	REG0-5071 // REG0-5070 // REG0-5069 // REG0-5068
PM0-45371	2551921	COLI-K12-52	
PM0-45450	2795643	COLI-K12-57	
PM0-3325	3000257	COLI-K12-61 // TU0-3145	REG0-6321
PM00654	2520924	COLI-K12-51 // TU00495	REG0-10455 // REG0-10454 // REG0-5833
PM00389	1995406	COLI-K12-40 // TU0-6686	REG0-6137
PM0-45556	3114479	COLI-K12-63	
PM823	2857019	COLI-K12-58 // TU723	
PM0-45634	3250475	COLI-K12-66	
PM0-45929	4024809	COLI-K12-82	
PM0-4482	3112899	COLI-K12-63 // TU0-4242	
PM0-9364	1144873	COLI-K12-23 // TU0-14273	
PM0-46021	4379473	COLI-K12-89	
PM0-9813		TU0-14530	
PM0-44733	1124102	COLI-K12-23	
PM00321	85420	COLI-K12-1 // TU0-6881	
PM0-9522	492056	COLI-K12-10 // TU0-12948	
PM0-10505	1622588	COLI-K12-33 // TU0-13307	REG0-10660
PM0-44455	380973	COLI-K12-7	
PM00041	3957867	COLI-K12-81 // TU00033	REG0-11328 // REG0-4709
PM0-45721	3413601	COLI-K12-69	
PM0-44479	453686	COLI-K12-9	
PM0-9646	416977	COLI-K12-8 // TU0-12917	REG0-11646
PM0-36222	118703	COLI-K12-2 // TU00237	REG0-11107
PM0-46388	3340102	COLI-K12-68 // TU0-42674	
PM0-45599	3182561	COLI-K12-65	
PM-8824	1986775	COLI-K12-40 // TU-8438	
PM0-10057	1809263	COLI-K12-37 // TU0-8640	
PM0-45630	3238371	COLI-K12-66	
PM0-44741	1146628	COLI-K12-23	
PM0-10469	3015992	COLI-K12-61 // TU0-13781	
PM0-44624	822648	COLI-K12-16	
PM0-7661	2512734	COLI-K12-51 // TU0-7321	REG0-10681 // REG0-10458 // REG0-6107 // REG0-6106
PM0-44556	658871	COLI-K12-13	
PM0-44965	1609182	COLI-K12-32	
PM0-46493	1668591	COLI-K12-34 // TU0-45193	REG0-14922 // REG0-14921
PM0-8002	546411	COLI-K12-11 // TU0-7622	REG0-6081
PM922	1813742	COLI-K12-37 // TU781	
PM0-44769	1197661	COLI-K12-24	
PM0-45092	1879360	COLI-K12-38	
PM0-44536	606405	COLI-K12-12	
PM0-9672	90010	COLI-K12-1 // TU0-14439	
PM0-46058	4496266	COLI-K12-92	
PM324	1488190	COLI-K12-30 // TU102	REG0-12710 // REG0-12709 // REG0-12708 // REG0-6003 // REG0-6002 // REG0-6001 // REG0-6000 // REG0-5999 // REG0-5998 // REG0-5997 // REG0-5996
PM0-45078	1862584	COLI-K12-38	
PM0-44823	1288751	COLI-K12-26	
PM0-7801	136940	COLI-K12-2 // TU00359	
PM00512	3867518	COLI-K12-79 // TU00407	
PM0-4527	57336	COLI-K12-1 // TU0-4287	
PM0-46327	1958747	COLI-K12-40 // TU0-42576	
PM0-44836	1315321	COLI-K12-26	
PM0-8641	1810170	COLI-K12-37 // TU0-8261	REG0-8952 // REG0-6021
PM0-44334	6587	COLI-K12-0	
PM00444	3453442	COLI-K12-70 // TU00347	REG0-11166 // REG0-6109 // REG0-6108
PM0-45101	1894933	COLI-K12-38	
PM0-45110	1910157	COLI-K12-39	
PM0-46029	4424828	COLI-K12-90	
PM0-45601	3184831	COLI-K12-65	
PM0-10104	2800121	COLI-K12-57 // TU0-13711	
PM0-9416	3840017	COLI-K12-78 // TU0-8817	REG0-11063 // REG0-11062
PM0-9625	4527977	COLI-K12-92 // TU0-14424	
PM0-45772	3581758	COLI-K12-73	
PM00547	1330980	COLI-K12-27 // TU0-2501	REG0-5090 // REG0-5089 // REG0-5088 // REG0-5087 // REG0-5086 // REG0-5085 // REG0-5084 // REG0-5083 // REG0-5082 // REG0-5081 // REG0-5080
PM00291	2137583	COLI-K12-43 // TU00207	REG0-6053 // REG0-6052
PM0-45766	3556948	COLI-K12-72	
PM0-44919	1496645	COLI-K12-30	
PM0-46031	4427517	COLI-K12-90	
PM0-44914	1492305	COLI-K12-30	
PM00532	1343369	COLI-K12-27 // TU00389	
PM0-44819	1270546	COLI-K12-26	
PM0-9557	28288	COLI-K12-0 // TU0-14399	
PM0-46398	4073596	COLI-K12-83 // TU0-42686	
PM0-45270	2278446	COLI-K12-46	
PM0-45711	3392184	COLI-K12-69	
PM0-46385	1105803	TU0-13123 // COLI-K12-22 // TU0-42666	
PM0-44787	1210139	COLI-K12-24	
PM0-9325	454349	COLI-K12-9 // TU0-14251	
PM0-10350	246615	COLI-K12-5 // TU0-12849	REG0-11295 // REG0-10271
PM0-45942	4064479	COLI-K12-83	
PM0-45220	2167548	COLI-K12-44	
PM0-8743	159151	COLI-K12-3 // TU0-8361	
PM0-44677	960238	COLI-K12-19	
PM0-9999	880519	COLI-K12-18 // TU0-8633	
PM0-46423	3504033	COLI-K12-71 // TU0-44200	
PM0-2261	1174028	COLI-K12-24 // TU0-2081	
PM0-36158	3333516	COLI-K12-68 // TU0-42628 // TU00338	REG0-12552 // REG0-10854
PM0-36136	4605752	COLI-K12-94 // TU0-36402	
PM584	2701813	COLI-K12-55 // TU484	
PM0-44585	689212	COLI-K12-14	
PM0-45210	2109716	COLI-K12-43	
PM177	3515982	COLI-K12-71 // TU876	
PM00043	4133812	COLI-K12-84 // TU00034	REG0-12898 // REG0-10684 // REG0-9525 // REG0-4712 // REG0-4711 // REG0-4710
PM0-46379	389754	COLI-K12-7 // TU0-12908	
PM0-10066	1937494	COLI-K12-39 // TU0-14633	
PM0-45844	3737221	COLI-K12-76	
PM0-44373	177700	COLI-K12-3	
PM00436	3212637	COLI-K12-65 // TU00437	
PM0-5321	1696152	COLI-K12-34 // TU0-5081	REG0-6189 // REG0-6188 // REG0-6187
PM934	1668603	COLI-K12-34 // TU789	REG0-4840 // REG0-4839
PM00465	3883882	COLI-K12-79 // TU593	REG0-15659 // REG0-12657 // REG0-11668 // REG0-11667 // REG0-11666 // REG0-11665 // REG0-11664 // REG0-11663 // REG0-11662 // REG0-11661 // REG0-4910
PM0-45724	3418196	COLI-K12-69	
PM0-44752	1168981	COLI-K12-23	
PM0-46597	4439413	COLI-K12-90 // TU0-93010	REG0-15985
PM0-45752	3526425	COLI-K12-72	
PM00217	1547372	COLI-K12-31 // TU00157	REG0-8997 // REG0-5788 // REG0-5787 // REG0-5786 // REG0-5785 // REG0-5784 // REG0-5783 // REG0-5782 // REG0-5781
PM0-44383	211858	COLI-K12-4	
PM0-45129	1940228	COLI-K12-39	
PM0-9630	1923207	COLI-K12-39 // TU0-45144 // TU0-13431	
PM0-45544	3091068	COLI-K12-63	
PM0-45892	3869314	COLI-K12-79	
PM0-46514	3911568	COLI-K12-80 // TU0-45216 // TU0-45215 // TU0-45214	REG0-14975 // REG0-14974 // REG0-14973 // REG0-14972
PM0-45080	1870364	COLI-K12-38	
PM0-45629	3238370	COLI-K12-66	
PM0-7861	2222120	COLI-K12-45 // TU0-7501	
PM0-45359	2518306	COLI-K12-51	
PM0-45136	1950778	COLI-K12-39	
PM0-45033	1749569	COLI-K12-35	
PM0-45325	2423712	COLI-K12-49	
PM0-10543	1215752	COLI-K12-24 // TU0-14762	REG0-13436 // REG0-10461
PM0-44963	1582554	COLI-K12-32 // TU0-41795	REG0-12878 // REG0-12877 // REG0-12019 // REG0-11592 // REG0-11591
PM0-9681	932929	COLI-K12-19 // TU0-14448	
PM461	3667607	COLI-K12-75 // TU586	REG0-11537 // REG0-10978 // REG0-10977 // REG0-10976 // REG0-10975 // REG0-10974 // REG0-10973 // REG0-10972 // REG0-10965 // REG0-10964 // REG0-10920 // REG0-10706 // REG0-9362 // REG0-9361 // REG0-9360 // REG0-9359 // REG0-5013 // REG0-5012 // REG0-5011 // REG0-5010 // REG0-5009 // REG0-5008 // REG0-5007 // REG0-5006 // REG0-5005 // REG0-5004 // REG0-5003
PM0-45248	2232684	COLI-K12-45	
PM0-10106	2819273	COLI-K12-57 // TU0-13716	
PM0-10112	2908018	COLI-K12-59 // TU0-14653	
PM00089	4100759	COLI-K12-83 // TU00064	REG0-12902 // REG0-10820 // REG0-9278 // REG0-5529 // REG0-5528 // REG0-5527 // REG0-5526 // REG0-5525 // REG0-5524 // REG0-5523 // REG0-5522 // REG0-5521 // REG0-5520 // REG0-5519 // REG0-5518 // REG0-5517 // REG0-5516
PM0-45380	2582880	COLI-K12-52	
PM326	2060941	COLI-K12-42 // TU0-1342	REG0-6016 // REG0-6015
PM0-44851	1339308	COLI-K12-27	
PM0-44596	742670	COLI-K12-15	
PM0-2482	222714	COLI-K12-4 // TU0-2302	REG0-11454 // REG0-6368 // REG0-6367
PM0-46395	4074641	COLI-K12-83 // TU0-42682	REG0-13113 // REG0-12858 // REG0-12857
PM0-9988	557781	COLI-K12-11 // TU0-12965	
PM0-46323	957579	COLI-K12-19 // TU0-42569	
PM821	890776	COLI-K12-18 // TU721	REG0-12889 // REG0-10670 // REG0-4871
PM0-45029	1743269	COLI-K12-35	
PM0-9774		TU0-14185	
PM00091	4274011	COLI-K12-87 // TU00065	REG0-5534 // REG0-5533 // REG0-5532 // REG0-5531 // REG0-5530
PM0-44650	889940	COLI-K12-18	
PM0-46424	1052004	COLI-K12-21 // TU0-44201	
PM0-10220	1726021	COLI-K12-35 // TU0-42534 // TU0-14687	REG0-9592 // REG0-9581
PM0-46370	1996893	COLI-K12-40 // TU0-42622	
PM0-9845		TU0-13982	
PM0-45625	3236365	COLI-K12-66	
PM0-44492	490857	COLI-K12-10	
PM0-45930	4024970	COLI-K12-82	
PM0-45292	2348338	COLI-K12-48	
PM0-9810	1848024	COLI-K12-37 // TU0-14527	
PM0-1182	2800656	COLI-K12-57 // TU0-1022	REG0-10950 // REG0-9041 // REG0-9040 // REG0-6489
PM0-46141	2819198	COLI-K12-57 // TU0-42458	
PM0-3382	3039822	COLI-K12-62 // TU0-3202	REG0-6332 // REG0-6331
PM0-9329	1788384	COLI-K12-36 // TU0-14254	
PM0-9513	3455527	COLI-K12-70 // TU0-14373	REG0-12675 // REG0-5399
PM0-4241	2788927	COLI-K12-57 // TU0-4001	REG0-13293 // REG0-13072 // REG0-6308 // REG0-6307 // REG0-6306 // REG0-6305
PM0-9763		TU0-13067	
PM00548	1330883	COLI-K12-27 // TU0-2502	
PM00646	564703	COLI-K12-11 // TU00491	REG0-5385
PM0-45314	2388587	COLI-K12-48	
PM0-44959	1570527	COLI-K12-32	
PM0-45042	1765147	COLI-K12-36	
PM0-45151	1979591	COLI-K12-40	
PM0-44646	872969	COLI-K12-17	
PM0-45247	2230493	COLI-K12-45	
PM0-45622	3234341	COLI-K12-66	
PM0-44902	1477462	COLI-K12-30	
PM0-45939	4060419	COLI-K12-83	
PM0-8710	2041346	COLI-K12-41 // TU0-8330	REG0-12892 // REG0-9412 // REG0-6577 // REG0-6576
PM0-44777	1202184	COLI-K12-24	
PM0-10204	738920	COLI-K12-15 // TU0-14679	
PM0-44861	1370003	COLI-K12-28	
PM0-45568	3133968	COLI-K12-64	
PM0-46301	1447370	COLI-K12-29 // TU0-42551	
PM00645	262841	COLI-K12-5 // TU00490	REG0-5383
PM0-46525	3429047	COLI-K12-70 // TU0-45227	REG0-15020 // REG0-15019 // REG0-15018 // REG0-15017 // REG0-15016 // REG0-15015 // REG0-15014 // REG0-15013 // REG0-15012 // REG0-15011
PM0-45987	4242260	COLI-K12-86	
PM0-46046	4458046	COLI-K12-91	
PM0-2741	3152014	COLI-K12-64 // TU00265	REG0-6388 // REG0-6387
PM0-1341	4035239	COLI-K12-82 // TU0-1181	REG0-16319 // REG0-11532 // REG0-11145 // REG0-11137 // REG0-11122 // REG0-6451 // REG0-6450 // REG0-6449 // REG0-6448 // REG0-6447
PM0-9978	444658	COLI-K12-9 // TU0-8555	
PM00361	1079291	COLI-K12-22 // TU123	
PM0-45573	3133915	COLI-K12-64	
PM-8777	3169801	COLI-K12-64 // TU-8394	
PM0-3823	1563107	COLI-K12-31 // TU0-3623	REG0-11534 // REG0-6320
PM00403	2430770	COLI-K12-49 // TU00444	
