Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-1522	1367939	REG0-6397 // REG0-6394	PM0-1983 // PM0-1981	EG12344-MONOMER // CPLX0-981
BS0-8919	3896701	REG0-13277	TU0-14025	G7072-MONOMER
BS00124	4214236.5d0	REG0-4501	PM00051	CPLX0-7796
BS0-7019		REG0-14975 // REG0-5940	PM0-46514 // PM00285	CPLX0-7797
BS00707	710723	REG0-5446 // REG0-5237	PM00164 // PM00348	CPLX0-7639
BS0-7820	3730832	REG0-10592	PM68	CPLX-172
BS0-7156	4133715.5d0	REG0-4711	PM00043	CPLX0-7797
BS0-7005	3737309	REG0-5591	PM00185	PHOSPHO-PHOP
BS0-7715	1212106.5	REG0-10395	PM0-10021	PHOSPHO-ARCA
BS0-8324		REG0-11649	PM0-10077	PHOSPHO-PHOB
BS00711	3050765.5	REG0-5747	PM00233	CPLX-123
BS0-8160	2248622.5	REG0-11320	PM340	CPLX0-7669
BS0-8992	2887279	REG0-13455	PM0-46454	CPLX0-226
BS0-5941	792141.5	REG0-14875 // REG0-4661 // REG0-4659 // REG0-4651	PM0-46476 // PM00033 // PM00032	PD00261 // MONOMER-53
BS0-7918	1103485	REG0-15161 // REG0-10810	PM0-46559 // PM00536	CPLX0-7748
BS0-8742	3656782.5	REG0-15091 // REG0-12871	PM0-46542 // PM928	EG11544-MONOMER
BS0-6382	533887	REG0-6080	PM0-7983	CPLX0-8071
BS0-7348	4287550	REG0-8946	PM00280	CPLX0-7756
BS00451	4114557.5	REG0-5171	PM00262	PD00365
BS0-8115	4595815.5	REG0-11215 // REG0-11216	PM0-46099 // TU0-8628	EG20249-MONOMER
BS0-3729	1157747	REG0-9015 // REG0-6514 // REG0-6501	PM0-1301 // PM0-1302	CPLX0-7705
BS-7110	990621.5d0	REG0-5725	PM00274	CPLX0-226
BS0-8951	3432347	REG0-13337	TU0-14274	EG12386-MONOMER
BS755	1668661.5	REG0-14922 // REG0-4841 // REG0-4839	PM0-46493 // PM935 // PM934	CPLX0-226
BS0-7281	3247501	REG0-4605	PM0-9408	CPLX0-7748
BS00457	4341844.5	REG0-5707 // REG0-4493	PM00175 // PM00050	MONOMER0-161
BS0-2841	4330326	REG0-5335	PM00611	CPLX0-7705
BS0-2083	2405570.5	REG0-5167	PM00593	CPLX0-7705
BS0-7799	3492478	REG0-10543 // REG0-10542 // REG0-10541	PM00621 // PM00620 // PM00619	CPLX0-7740
BS00619	765944.5	REG0-6274 // REG0-5259	PM0-4722 // PM00558	PC00103
BS0-8140	1842228.5	REG0-11256	PM00379	CPLX0-7669
BS00647	3639987	REG0-5232	PM00451	PD01520
BS0-8011	1572282.5	REG0-15052 // REG0-10956	PM0-46530 // PM450	EG12243-MONOMER
BS0-7960		REG0-10887	PM0-10149	MONOMER0-155
BS0-6561	703812.5d0	REG0-9013 // REG0-9005 // REG0-6257 // REG0-4512	PM0-4621 // PM00058	CPLX0-226
BS0-5681		REG0-11114 // REG0-5910	PM00326	CPLX0-7797
BS0-8823	2221984	REG0-14449 // REG0-13141	EG12013 // TU0-8787	G7072-MONOMER
BS0-7271	3354177.5	REG0-14894 // REG0-5247	PM0-46479 // PM00254	CPLX0-228
BS0-7176	2976456.5	REG0-6605	PM0-9198	PHOSPHO-OMPR
BS0-8433	3532691.5	REG0-12043	PM00193	CPLX0-226
BS0-3161	1263651.5d0	REG0-5831	PM00367	CPLX0-7797
BS0-1144	1842283	REG0-6436	PM00379	G7072-MONOMER
BS0-2081	2405473.5	REG0-5169	PM00593	CPLX0-7705
BS0-7037	2312925	REG0-4568	PM00065	CPLX0-7748
BS0-8396	1451452	REG0-11950	PM0-10436	G6706-MONOMER
BS0-30	3493913	REG0-4540	PM00062	PHOSPHO-NARL
BS0-7989		REG0-15056 // REG0-10921	PM0-46530 // PM450	EG11966-MONOMER
BS0-3743	3906724	REG0-6253	PM0-5042	CPLX0-7705
BS0-10438	3539879	REG0-15742	PM0-8860	PHOSPHO-OMPR
BS00149	3493922	REG0-4543	PM00062	PHOSPHO-NARL
BS00102	728912	REG0-4713	PM00044	CPLX0-7795
BS0-7428	4540091	REG0-9082	PM00560	PC00027
BS0-2401	1330918	REG0-5087	PM00547	CPLX0-7705
BS00231	85460	REG0-11409 // REG0-4483	PM00323 // PM00111	PD00353
BS0-4402	4252431	REG0-6169	PM0-5862	PC00027
BS0-8056	3840108.5	REG0-11062	PM0-9416	PD01379
BS0-7859	4133746	REG0-10684	PM00043	PD00214
BS0-7304	121608.5d0	REG0-5360 // REG0-4920	PM00014 // PM741	MONOMER0-162
BS00272	3305879.5	REG0-5482	PM00132	CPLX-125
BS0-7726	652060	REG0-10426 // REG0-9400 // REG0-10427	PM0-10380 // PM0-9889 // PM0-10377	PHOSPHO-DPIA
BS0-8587	2710372.5	REG0-15282 // REG0-12594	PM0-46585 // PM0-46373	PROTEIN-NRIP
BS0-8939	2985673.5	REG0-13304	TU0-13757	CPLX0-226
BS741	4368522.5	REG0-5809	PM00220	CPLX0-226
BS0-8133	2587484	REG0-11249	PM0-10482	CPLX0-7748
BS0-7738	2520831	REG0-10454 // REG0-10452	PM00654 // PM331	CPLX0-7705
BS00631	1194884.5	REG0-5369	PM00575	PC00061
BS0-7127	1712625.5	REG0-6535	PM0-8909	PHOSPHO-OMPR
BS00289		REG0-5864	PM00144	PHOSPHO-ARCA
BS0-7285	4235725	REG0-4479	PM0-9414	PC00027
BS00657	2405270	REG0-5634	PM00592	PHOSPHO-ARCA
BS0-8388		REG0-11902	PM0-10228	CPLX0-7705
BS116	1277670.5d0	REG0-5396	PM00214	CPLX0-7797
BS0-2558	4207746	REG0-15258 // REG0-6459	PM0-46580 // PM0-1346	CPLX0-7705
BS442	1237502	REG0-5293 // REG0-5030 // REG0-5023	PM00540 // PM562 // PM561	PD00353
BS0-8397	1447449	REG0-11951	PM0-46300	G6706-MONOMER
BS758	1057987.5	REG0-5976 // REG0-4848	PM00298 // PM168	PHOSPHO-TORR // TORR-CPLX
BS0-7917	1103510	REG0-15162 // REG0-10809	PM0-46559 // PM00536	CPLX0-7748
BS0-4222	2832361	REG0-6270	PM0-4681	PHOSPHO-NARL
BS0-1142	2062130	REG0-5066	PM65	PROTEIN-NRIP
BS0-7789	1865720	REG0-10514	PM0-10438	CPLX0-7756
BS0-7947	3378689	REG0-10856	PM404	CPLX0-7705
BS0-4923	3592430	REG0-5226 // REG0-5229	PM00448 // PM00449	PHOSPHO-PHOB
BS0-1601	2662227	REG0-6404	PM0-2061	CPLX0-8083
BS0-9003	1907931	REG0-13466	PM0-10453	MONOMER0-4276
BS0-7638	2081344.5	REG0-9608	PM0-10074	CPLX0-226
BS0-7517	1638764	REG0-9355	PM0-7321	CPLX0-7705
BS0-8247	2949222.5	REG0-11504	PM0-8908	CPLX0-228
BS0-5103	4246635.5	REG0-4736 // REG0-4729	PM00048 // PM00047	CPLX0-226
BS521	1388862.5d0	REG0-5154	PM334	CPLX0-7797
BS0-1441	1671297	REG0-15251 // REG0-6431	PM0-46579 // PM0-1881	PHOSPHO-PHOB
BS0-8004	4201790	REG0-10939 // REG0-10938	PM924 // PM923	PHOSPHO-HYDG
BS0-3425	42128	REG0-5651	PM00528	PHOSPHO-ARCA
BS0-3202	1889913	REG0-5898	PM0-4428	PD01520
BS0-8136	2153912.5	REG0-11252	PM0-8261	CPLX0-7748
BS0-5541	4539993	REG0-9076 // REG0-6129	PM00560 // PM0-7183	PD00266
BS0-7933	2884273	REG0-10826	PM0-10544	PD00519
BS0-8051	1103801.5	REG0-14998 // REG0-11056	PM0-46522 // PM00535	PD01379
BS0-7560	3656809	REG0-15113 // REG0-9403	PM0-46542 // PM928	MONOMER0-155
BS0-5161	3667534.5	REG0-15211 // REG0-5011	PM0-46571 // PM461	PHOSPHO-TORR
BS0-8260	4166635	REG0-15235 // REG0-11528	PM0-46578 // PM00514	MONOMER0-155
BS768	131376	REG0-4933	PM263	PHOSPHO-ARCA
BS772	131347.5	REG0-4929	PM263	CPLX0-7705
BS0-5473	792117	REG0-14873 // REG0-4653	PM0-46476 // PM00032	PD00288
BS0-7010	4128616	REG0-6292	PM00490	PHOSPHO-PHOP
BS0-5524	4539989.5d0	REG0-6127	PM0-7183	CPLX0-226
BS0-4803	1311029	REG0-5736	PM00229	CPLX0-7639
BS0-8197	1237332	REG0-11423 // REG0-5285 // REG0-11416	PM562 // PM00540 // PM561	PD00353
BS0-8549	3719975	REG0-12540	PM00452	CPLX0-7705
BS0-8052	1103778.5	REG0-14997 // REG0-11057	PM0-46522 // PM00535	PD01379
BS0-6783	1946036.5d0	REG0-6121	PM00386	PC00010
BS0-7219	255736	REG0-6612	PM0-9310	PD01379
BS0-8837	2984200	REG0-13156	TU0-13756	G7072-MONOMER
BS0-8557	1313991.5	REG0-12545	PM0-9249	PHOSPHO-ARCA
BS0-7425	612686.5	REG0-9074	PM00343	PD00288
BS0-7955	3216521	REG0-10882	PM0-36183	G7594-MONOMER
BS829		REG0-6024	PM1021	EG12031-MONOMER
BS0-7184	3354482.5	REG0-14891 // REG0-5250	PM0-46479 // PM00254	CPLX0-7797
BS0-5902	1932837	REG0-6122	PM00382	PHOSPHO-PHOB
BS0-8508	4595815.5	REG0-12392 // REG0-12391	TU0-8628 // PM0-46099	CPLX0-8210
BS0-10551	2861297	REG0-15998	TU0-13721	G7416-MONOMER
BS0-5443	3278834.5	REG0-5891	PM0-6881	G7630-MONOMER
BS0-2001	3152054	REG0-6388	PM0-2741	CPLX0-7639
BS00615		REG0-5278	PM00516	CPLX0-7714
BS0-7676	1901972.5	REG0-10175	PM00276	PC00061
BS0-6742	3278722.5	REG0-5893	PM0-6882	G7630-MONOMER
BS0-8995	1103920	REG0-14993 // REG0-13458	PM0-46522 // PM00535	MONOMER0-4276
BS0-8881	1256275	REG0-13224	TU0-13178	G7072-MONOMER
BS0-8790	813446	REG0-12982	PM00099	MONOMER0-160
BS0-7745	1215722.5	REG0-14847 // REG0-10461	PM0-46467 // PM0-10543	G6602-MONOMER
BS272	3731007.5d0	REG0-5046	PM70	MONOMER0-165
BS0-7986		REG0-10918	PM0-36192	CPLX0-7852
BS00238	3600894	REG0-5449	PM00114	MONOMER0-160
BS148	1079104	REG0-4856	PM00360	CPLX0-226
BS0-8116	2911375	REG0-11221 // REG0-11217	PM622 // PM623	CPLX0-841
BS00466	2710404.5	REG0-5724	PM00273	CPLX0-7975
BS0-6927	1277852	REG0-4528	PM00061	PHOSPHO-NARL
BS00026	1788280.5	REG0-4789	PM00012	CPLX-125
BS0-5450	3281677.5	REG0-6148	PM0-6883	G7630-MONOMER
BS0-9009	1397328	REG0-13485	TU0-13220	PHOSPHO-ARCA
BS0-7750	3206365	REG0-10466	PM0-10539	CPLX0-8048
BS86	4100738	REG0-5521	PM00089	PHOSPHO-ARCA
BS0-7502	4246413	REG0-9331	PM00047	CPLX0-7705
BS0-1361	1016517.5	REG0-5476	PM00131	EG11394-MONOMER
BS00292		REG0-5873	PM00147	PHOSPHO-ARCA
BS0-3462	1165935	REG0-5795	PM00218	PHOSPHO-ARCA
BS0-4082	4419675.5	REG0-6197	PM0-5403	G7854-MONOMER
BS0-8022	3667707.5	REG0-15199 // REG0-15198 // REG0-10974 // REG0-10973	PM0-46571 // PM461	EG12242-MONOMER
BS0-10867	1610446	REG0-16436	PM0-36188	PD00260
BS0-2425	2313110.5	REG0-14823 // REG0-5313 // REG0-5219 // REG0-4997 // REG0-4576	PM0-46465 // PM00630 // PM00401 // PM00631 // PM00065	PD00353
BS0-7975	1610814.5	REG0-10903	PM0-36188	CPLX0-226
BS00531	4354863	REG0-5989	PM00305	PD00353
BS0-9013	2725814	REG0-13489	TU0-13674	PHOSPHO-ARCA
BS0-8989	3532615	REG0-13440	PM00193	CPLX0-7721
BS0-6182		REG0-5049	PM404	CPLX0-7797
BS00034	809281.5	REG0-5888 // REG0-5645	PM00015 // PM00016	MONOMER-48
BS0-7819	3105598	REG0-10582	PM00173	CPLX0-7740
BS0-3763	2303707.5d0	REG0-5059 // REG0-4875	PM444 // PM125	CPLX0-6
BS00760	2533437.5	REG0-15068 // REG0-5272 // REG0-5221	PM0-46531 // PM00633 // PM00409	CPLX0-226
BS00120	4246695.5	REG0-4744 // REG0-4733	PM00048 // PM00047	MONOMER0-158
BS0-5642	913954	REG0-6113	PM0-7361	PHOSPHO-NARL
BS0-8054	1103315.5	REG0-15151 // REG0-11059	PM0-46559 // PM00536	PD01379
BS0-8734	2002021.5	REG0-12842	PM00563	PC00027
BS0-7259	2344556	REG0-4555	PM00063	CPLX0-7705
BS0-8152		REG0-11271	TU0-14026	PHOSPHO-CREB
BS0-7834	1988661.5	REG0-10610	PM0-10490	PD00288
BS0-8457	2038877.5	REG0-12163	PM0-45171	MONOMER0-4180
BS0-8391	4503626.5	REG0-11922	PM0-46064	CPLX0-8593
BS0-7588	4233682.5	REG0-15183 // REG0-9469	PM0-46563 // PM180	PD00406
BS0-8976	1370196.5	REG0-13400	TU0-13212	G6658-MONOMER
BS0-7991		REG0-10923	PM00137	PD00288
BS0-7842	1622958	REG0-10659	PM0-10504	PHOSPHO-PHOP
BS0-7283	2892088	REG0-5827	PM00107	PC00027
BS0-7438	624888	REG0-9135	PM00228	CPLX0-7639
BS0-8455		REG0-12153	PM00563	G6745-MONOMER
BS00340	3756595.5d0	REG0-5903	PM00187	CPLX0-226
BS422	1237528.5	REG0-5025 // REG0-8984 // REG0-5018	PM562 // PM561	CPLX0-226
BS0-7972	4455691.5	REG0-14970 // REG0-10900	PM0-46513 // PM0-1123	PC00061
BS00798	755391	REG0-5176	PM00350	CPLX0-226
BS00652	3210738.5d0	REG0-5384	PM00583	PC00010
BS0-8768	468289	REG0-12905	PM0-10221	PD00406
BS506	3950427	REG0-4952 // REG0-4947	PM00474 // PM00475	PC00027
BS0-7671	3656908.5	REG0-15268 // REG0-15103 // REG0-6203 // REG0-10132	PM0-46582 // PM0-46542 // PM0-5143 // PM928	EG11544-MONOMER
BS0-8295	1686762.5	REG0-11604	PM00147	CPLX0-226
BS0-8243		REG0-11500	PM0-44427	G6165-MONOMER
BS0-2350	3493899	REG0-4549	PM00062	PC00027
BS0-8449	1619064	REG0-12140	PM00265	CPLX0-7748
BS00063	1399552.5	REG0-4637	PM00029	CPLX0-7797
BS0-7753	2839432.5	REG0-10471	PM0-8848	EG10087-MONOMER
BS0-6998	3270582	REG0-4958	PM643	CPLX0-7705
BS0-3222	3867290	REG0-5887	PM0-4436	CPLX0-7748
BS00062	3410204	REG0-4634	PM00028	CPLX0-7705
BS0-8685	4595908	REG0-12729 // REG0-12728	TU0-8628 // PM0-46099	CPLX0-226
BS0-8517		REG0-12511	PM0-9726	G6664-MONOMER
BS0-5183	3888355.5d0	REG0-5456	PM00117	PHOSPHO-TORR
BS321	576943.5	REG0-5051	PM437	CPLX0-226
BS0-8126	4400123.5	REG0-11241	PM0-9871	CPLX0-226
BS0-8469	1021001.5	REG0-12208	PM0-46336	CPLX0-8312
BS0-7299	4404672.5	REG0-6209	PM00134	CPLX-123
BS00460		REG0-5927	PM00267	CPLX0-7796
BS0-8358	3648011.5	REG0-11757	PM0-8643	PC00010
BS00406	3051030	REG0-8995 // REG0-5743	PM00233	PD00339
BS00586	42078.5	REG0-5654	PM00528	CPLX0-226
BS0-4801	3152060	REG0-6387	PM0-2741	CPLX0-7639
BS0-1581	2349540.5	REG0-6402	PM0-2021	PD04418
BS00144	1279612	REG0-4525	PM00060	PHOSPHO-NARL
BS0-2021	1161633	REG0-6344	PM0-2761	CPLX0-7639
BS0-7535	1230529	REG0-9374	PM681	CPLX0-7705
BS0-5182	3888308.5d0	REG0-5457	PM00117	PHOSPHO-TORR
BS0-8027	1572191.5	REG0-15047 // REG0-15046 // REG0-10984 // REG0-10983	PM0-46530 // PM450	EG12242-MONOMER
BS0-8393	4503643.5	REG0-11924	PM0-46064	CPLX0-8593
BS0-8749	3653933	REG0-12881	PM00137	EG12243-MONOMER
BS0-1983	841654	REG0-6384	PM0-2701	CPLX0-7639
BS0-8026	1572282.5	REG0-15049 // REG0-15048 // REG0-10982 // REG0-10981	PM0-46530 // PM450	EG12242-MONOMER
BS0-6970	754924	REG0-5855	PM00143	CPLX0-7639
BS00148	3493945.5	REG0-4542	PM00062	CPLX0-7797
BS00230	85379	REG0-11408 // REG0-4482	PM00323 // PM00111	PD00353
BS641	4046839	REG0-4922	PM761	MONOMER0-160
BS0-8953	4101608	REG0-13339	TU0-14076	EG12386-MONOMER
BS541	3561907.5d0	REG0-5015 // REG0-4686	PM503 // PM00038	CPLX0-226
BS00449	3737432.5	REG0-5595	PM00185	MONOMER0-158
BS0-7282	1441796	REG0-6126	PM0-9409	CPLX0-2781
BS61	3772085.5d0	REG0-5719	PM00272	CPLX0-226
BS0-2265	771168.5d0	REG0-6329 // REG0-6325 // REG0-5506 // REG0-5057	PM0-3342 // PM0-3341 // PM00141 // PM439	CPLX0-7797
BS0-8486	1335084	REG0-12294	PM0-46351	G7947-MONOMER
BS0-7678	2308695.5	REG0-10183	PM0-10338	MONOMER0-155
BS0-6977	954719	REG0-5199 // REG0-5187	PM00354 // PM00353	PHOSPHO-NARL
BS0-7123	2868182	REG0-5628	PM00590	PHOSPHO-ARCA
BS0-7534	1230576	REG0-9373	PM681	CPLX0-7705
BS-7067	4223659	REG0-6255	PM0-4528	CPLX0-7605
BS0-8964	3169207	REG0-14312 // REG0-13353	G7574 // TU0-13833	EG12386-MONOMER
BS0-7835	1988696.5	REG0-10611	PM0-10490	PD00288
BS0-6922	1277718	REG0-4533	PM00061	PHOSPHO-NARL
BS0-3486	4031042	REG0-4467	PM00109	PHOSPHO-ARCA
BS00193	2823839	REG0-5507	PM00086	PC00010
BS0-4942	1488202	REG0-5999	PM324	PHOSPHO-ARCA
BS0-1765	222731.5	REG0-6368	PM0-2482	CPLX0-7796
BS0-2821	3742735.5d0	REG0-4904	PM692	CPLX0-226
BS0-5467	366374	REG0-4717	PM00045	PD00288
BS0-7730		REG0-10431	PM00150	PHOSPHO-DPIA
BS0-8987	4368593	REG0-13438	PM00220	CPLX0-7721
BS0-7186	1313909.5	REG0-6608	PM0-9249	CPLX0-7797
BS00542	2246811.5	REG0-4801 // REG0-4797	PM00020 // PM00019	CPLX0-226
BS0-6222	2352582.5	REG0-4692 // REG0-4674	PM00039 // PM00037	CPLX0-7797
BS0-32	3493913	REG0-4539	PM00062	PHOSPHO-NARP
BS0-1584	1011623.5	REG0-15182 // REG0-5148	PM0-46562 // PM332	PD00365
BS0-3943	1696124.5	REG0-6188	PM0-5321	EG20249-MONOMER
BS0-8408	408495.5	REG0-11986	PM0-46310	CPLX0-7916
BS0-3483	770877	REG0-5501	PM00141	PHOSPHO-ARCA
BS00081	2352542.5	REG0-4693 // REG0-4679	PM00039 // PM00037	CPLX0-226
BS0-8492	1351169	REG0-12320	PM0-46358	PD01520
BS0-7334	2426899.5	REG0-5835	PM0-9577	CPLX0-228
BS0-2041	2339499.5	REG0-5714	PM00192	CPLX0-7705
BS00282	1986308	REG0-14903 // REG0-5491	PM0-46480 // PM00139	CPLX-172
BS00286	451853	REG0-5853	PM00142	PHOSPHO-ARCA
BS0-8669	3303382	REG0-12705	TU0-13879	PD00365
BS0-7136	816856.5d0	REG0-6498	PM0-1284	CPLX0-6
BS0-8315	1103642.5	REG0-15143 // REG0-11637	PM0-46559 // PM00536	CPLX0-8597
BS0-3472	4100739	REG0-5377	PM00293	PHOSPHO-ARCA
BS0-7211	1592500.5	REG0-6583	PM0-8864	CPLX0-7425
BS00049	4616947	REG0-4807	PM00024	PD01196
BS0-6441	3581034	REG0-6340 // REG0-6082	PM0-45771 // PM0-8042	CPLX0-7639
BS0-6464	4605750	REG0-10788 // REG0-6085	PM0-10418 // PM0-8081	CPLX0-7639
BS0-4129	4494543.5	REG0-6243 // REG0-6239	PM0-4922 // PM0-4921	PD03585
BS00101	4133768	REG0-4712	PM00043	PD00214
BS0-7878	922575.5	REG0-10730	PM00597	G7571-MONOMER
BS0-8778	4242356	REG0-12964	PM0-46402	MONOMER0-165
BS0-7614	577031	REG0-9576	PM437	CPLX0-7418
BS0-8497		REG0-12327	PM0-9849	PHOSPHO-NARP
BS0-8098		REG0-11118	TU-8382	CPLX0-7797
BS0-7321	624855	REG0-5408	PM00228	CPLX0-7639
BS561	1230510.5	REG0-4967	PM681	CPLX0-8563
BS0-1644	3128187	REG0-14060 // REG0-6038	G7546 // PM166	PHOSPHO-ARCA
BS0-7198		REG0-6602	PM0-9127	CPLX0-7797
BS0-10465		REG0-15816	PM-8797	CPLX0-8109
BS00312	4436673	REG0-5444	PM00163	CPLX0-226
BS0-8872	800236	REG0-13213	TU0-8565	G7072-MONOMER
BS00582	2461273.5	REG0-4476	PM00110	PHOSPHO-OMPR
BS0-8871	679653	REG0-14703 // REG0-13212	G6355 // TU0-8562	G7072-MONOMER
BS0-8805		REG0-13122	PM932	PD02198
BS00637	3600890.5	REG0-9002 // REG0-5658 // REG0-5513 // REG0-5451	PM00088 // PM00571 // PM00114	CPLX0-226
BS0-8414	3231491.5	REG0-12004	PM0-36147	EG10442-MONOMER
BS0-1064	1157591	REG0-6516	PM0-1302	PD01896
BS0-7911	2849906.5	REG0-10803	PM00210	MONOMER0-183
BS0-7867	3206290	REG0-10711	PM0-10539	CPLX0-8048
BS0-8952	1272188	REG0-13376 // REG0-13338	TU00249 // TU0-8777	EG12386-MONOMER
BS0-8979	3134088	REG0-13423	TU0-13817	PD00519
BS0-2901	2441680	REG0-6443	PM00407	PD01520
BS0-8874	801897	REG0-13215	TU0-13043	G7072-MONOMER
BS0-8824	1621605	REG0-13228 // REG0-13142	TU0-8705 // TU0-8704	G7072-MONOMER
BS0-7888	1335729.5	REG0-10755	PM262	PD00365
BS0-8143		REG0-11259	PM00328	CPLX0-7669
BS0-3862	3656865.5	REG0-15265 // REG0-15116 // REG0-15099 // REG0-10987 // REG0-10970 // REG0-4834	PM0-46582 // PM0-46542 // PM928 // PM0-5143	EG12243-MONOMER
BS0-7313	3486020	REG0-5668 // REG0-5664	PM0-9554 // PM0-9556	CPLX0-7705
BS0-1422	656146.5d0	REG0-6425	PM0-1783	CPLX0-7797
BS601		REG0-5466	PM00125	PC00027
BS0-10858	384949	REG0-16426	TU0-198708	CPLX0-7639
BS681	890820	REG0-10672 // REG0-4871	PM0-2281 // PM821	PD00214
BS0-1201	3059703	REG0-6432	PM0-1501	PHOSPHO-PHOB
BS0-8547	3719900	REG0-12539	PM00452	CPLX0-7705
BS0-8394	3169735.5	REG0-11939	PM0-45592	PHOSPHO-BASR
BS0-7649	3664834.5	REG0-9996 // REG0-9980	PM0-10288 // PM0-6061	EG12243-MONOMER
BS0-7499	2352564	REG0-9325 // REG0-9322	PM00039 // PM00037	CPLX0-7705
BS0-7016		REG0-6321	PM0-3325	CPLX0-7797
BS0-7934	2884429	REG0-10827	PM0-10544	PD00519
BS0-8256	2185913	REG0-11522	PM0-9620	CPLX0-7639
BS00287	754931	REG0-5861	PM00143	PHOSPHO-ARCA
BS0-8519		REG0-12512	PM00097	G6664-MONOMER
BS0-8020	4163532.5	REG0-10969	PM00494	EG12243-MONOMER
BS00363	3244984.5	REG0-6228 // REG0-5768	PM0-5261 // PM00202	PD03270
BS0-7036	987521.5	REG0-15031 // REG0-4593	PM0-46528 // PM00066	CPLX0-7748
BS0-8445	1893820.5	REG0-12125	PM0-45098	CPLX0-2781
BS0-7260	2344486	REG0-4554	PM00063	CPLX0-7705
BS0-8765	4100767	REG0-12902	PM00089	PD04132
BS0-5022	1329302	REG0-6532	PM0-1122	CPLX0-226
BS0-8023	3667685	REG0-15197 // REG0-15196 // REG0-10976 // REG0-10975	PM0-46571 // PM461	EG12242-MONOMER
BS0-5801	1343517.5	REG0-4886	PM00531	PHOSPHO-RCSB
BS0-8681	84045	REG0-12723 // REG0-12722 // REG0-12721	PM0-46381 // PM0-46177 // PM0-9884	EG12123-MONOMER
BS0-7838	3068925.5	REG0-10614	PM0-9890	MONOMER0-155
BS0-7306	358704	REG0-5844	PM00194	MONOMER0-164
BS0-8387		REG0-11901	PM0-10228	EG11554-MONOMER
BS0-8105		REG0-11206	PM0-9849	PHOSPHO-RCSB
BS0-7197		REG0-6594	PM-8829	CPLX0-7797
BS0-8792	2751734	REG0-12984	PM0-3	MONOMER0-160
BS0-8429	2884408.5	REG0-12036	PM0-10544	CPLX0-226
BS463	4200112.5d0	REG0-5038	PM586	CPLX0-226
BS0-8297	1234895	REG0-11617	PM0-10352	MONOMER-51
BS0-7976	2533513	REG0-15066 // REG0-10909 // REG0-10908 // REG0-10904	PM0-46531 // PM00634 // PM00409 // PM00633	PD00266
BS0-8333	3883943	REG0-11662 // REG0-11661	PM00465	MONOMER0-160
BS0-8028	1572170.5	REG0-15045 // REG0-15044 // REG0-10986 // REG0-10985	PM0-46530 // PM450	EG12242-MONOMER
BS00681	4118221.5d0	REG0-5755	PM00238	CPLX0-226
BS00591	4611153.5	REG0-15072 // REG0-5429	PM0-46534 // PM00529	CPLX0-226
BS0-7164	3545599	REG0-6545	PM0-8917	G7326-MONOMER
BS0-8960	4473767	REG0-14240 // REG0-13349	G7880 // TU0-14172	EG12386-MONOMER
BS0-7628	3927053.5	REG0-9602 // REG0-9598	PM00154 // PM00153	CPLX0-7733
BS0-7323	612678	REG0-6529 // REG0-5840	PM00343 // PM00225	CPLX0-7639
BS0-7586	1754684	REG0-9466	PM0-10196	PHOSPHO-NARL
BS00727	4097637	REG0-14947 // REG0-5511	PM0-46502 // PM00087	MONOMER-47
BS0-8844	1434163	REG0-13163	TU0-13237	G7072-MONOMER
BS0-8956	2465613	REG0-13342	TU0-13599	EG12386-MONOMER
BS0-8325	1447326	REG0-11650	PM0-46298	PHOSPHO-PHOB
BS144	754926	REG0-5860	PM00143	PHOSPHO-ARCA
BS146	1079165.5	REG0-4857	PM00360	CPLX0-226
BS0-5501	629765.5d0	REG0-6125	PM0-7163	CPLX0-226
BS0-2750	4287571	REG0-15090 // REG0-6286	PM0-46541 // PM0-3923	PC00027
BS0-8205		REG0-11453	PM00141	CPLX0-8075
BS0-7387	2800610.5	REG0-9041	PM0-1182	CPLX0-8061
BS0-8922	4283081	REG0-13280	TU0-14125	G7072-MONOMER
BS0-4206	1157681	REG0-6504	PM0-1301	PHOSPHO-ARCA
BS0-8867	569303	REG0-13190	TU0-12973	G7072-MONOMER
BS0-7497	2352515	REG0-9327 // REG0-9320	PM00039 // PM00037	CPLX0-7705
BS0-7997		REG0-10929	PM982	PD00288
BS0-7575	3906792.5	REG0-11993 // REG0-9421	PM0-46317 // PM0-5042	CPLX0-7916
BS0-7561	3656846	REG0-15112 // REG0-9404	PM0-46542 // PM928	MONOMER0-155
BS0-7582	1754628	REG0-9462	PM0-10196	PHOSPHO-NARP
BS0-10772		REG0-16327	PM0-1344	MONOMER0-46
BS182		REG0-5129	PM241	PD00288
BS0-1424	656423	REG0-6423	PM0-1783	PHOSPHO-ARCA
BS0-8825	997518	REG0-14654 // REG0-13143	G6479 // TU0-13094	G7072-MONOMER
BS0-4424	2804799	REG0-4866	PM00423	PD00288
BS41	1488130.5d0	REG0-5996	PM324	CPLX0-226
BS0-2968	102851.5d0	REG0-15231 // REG0-5971	PM0-46574 // PM00296	PD02198
BS423	1237465.5	REG0-5289 // REG0-5026 // REG0-5019	PM00540 // PM562 // PM561	CPLX0-226
BS0-3341	1292934	REG0-5683	PM00191	CPLX0-7705
BS0-7879	3168580	REG0-10731	PM0-10415	G7571-MONOMER
BS0-7824	1601317.5	REG0-9588 // REG0-10599	PM0-10233 // PM0-8241	CPLX0-226
BS00284	412593	REG0-5495	PM00140	CPLX-172
