# Generated from the following BioVelo query on EcoCyc, 12:16pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^?associated-binding-site, x^?regulator, Evidence) : x<-ECOLI^^Regulation-of-Transcription-Initiation,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Associated Binding Site", "Regulators", "Evidence")), 2)
Regulation of pntA by DNA-binding transcriptional dual regulator Lrp	REG0-15529	Lrp DNA-binding-site (BS0-10298)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of rho by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14096	ArcA-Pasp54 DNA-binding-site (BS0-9507)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of lpdAp by DNA-binding transcriptional dual regulator FNR	REG0-11114	Fnr DNA-binding-site regulating lpdAp	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of inaAp by DNA-binding transcriptional dual regulator Rob	REG0-6402	Rob DNA-binding-site 41.5 bases upstream of inaAp	DNA-binding transcriptional dual regulator Rob	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of lolAp by DNA-binding transcriptional dual regulator RcsB-phosphorylated	REG0-11552	Pasp56 RcsB DNA-binding-site 43.5 bases upstream of lolAp	DNA-binding transcriptional dual regulator RcsB-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yigG by DNA-binding transcriptional repressor GlaR	REG0-14314	GlaR DNA-binding-site (BS0-9667)	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of argTp by NtrC phosphorylated dimer	REG0-6314	NtrC phosphorylated dimer DNA-binding-site 190 bases upstream of argTp	NtrC phosphorylated dimer	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of argPp by ArgP-L-arginine  DNA-binding transcriptional dual regulator	REG0-11318	ArgP-arginine DNA-binding-site 36.5 bases upstream of argPp	ArgP-L-arginine  DNA-binding transcriptional dual regulator	EV-IC
Regulation of yciT by DNA-binding transcriptional dual regulator Lrp	REG0-15606	Lrp DNA-binding-site (BS0-10375)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of lysRp by DNA-binding transcriptional dual regulator LysR	REG0-5255		DNA-binding transcriptional dual regulator LysR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hlpAp by DNA-binding transcriptional activator GadE	REG0-6279		DNA-binding transcriptional activator GadE	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of norVp by DNA-binding transcriptional dual regulator NarL-phosphorylated	REG0-6267	NarL-Pasp59 DNA-binding-site 69 bases upstream of norVp	DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of aroP by DNA-binding transcriptional dual regulator FNR	REG0-14327	Fnr DNA-binding-site (BS0-9677)	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-MICROARRAY
Regulation of glpAp by DNA-binding transcriptional dual regulator Fis	REG0-9321	Fis DNA-binding-site 71 bases upstream of glpTQp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gadBp by DNA-binding transcriptional dual regulator GadW	REG0-10982	GadW DNA-binding-site 210.5 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadW	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dnaA by DNA-binding transcriptional dual regulator Nac	REG0-14486	Nac DNA-binding-site (BS0-9820)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of dhaK by DNA-binding transcriptional dual regulator Nac	REG0-14482	Nac DNA-binding-site (BS0-9818)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of serS by DNA-binding transcriptional dual regulator Lrp	REG0-15563	Lrp DNA-binding-site (BS0-10332)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of gyrBp2 by DNA-binding transcriptional dual regulator Fis	REG0-14955	Fis DNA-binding-site 62 bases upstream of gyrBp2	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5289	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of dadAp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of adhEp1 by DNA-binding transcriptional dual regulator Lrp	REG0-9547	Lrp DNA-binding-site 6 bases upstream of adhEp	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of pdhRp by phosphorylated DNA-binding transcriptional dual regulator BtsR	REG0-13461	phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 188 bases upstream of pdhRp2	phosphorylated DNA-binding transcriptional dual regulator BtsR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mdtAp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-5765	CpxR-phosphorylated DNA-binding-site 128.5 bases upstream of mdtAp	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yffS by DNA-binding transcriptional dual regulator FNR	REG0-14360	Fnr DNA-binding-site (BS0-9708)	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-MICROARRAY
Regulation of holE by DNA-binding transcriptional dual regulator Nac	REG0-14531	Nac DNA-binding-site (BS0-9854)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of purAp by DNA-binding transcriptional dual regulator MarA	REG0-6210	MarA DNA-binding-site 43 bases upstream of purAp	DNA-binding transcriptional dual regulator MarA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of agaSp by DNA-binding transcriptional repressor AgaR	REG0-6150	AgaR DNA-binding-site 52.5 bases upstream of agaSp	DNA-binding transcriptional repressor AgaR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mocA by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16393	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10826)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of ptsH by FlhDC DNA-binding transcriptional dual regulator	REG0-16287	FlhDC DNA-binding-site (BS0-10748)	FlhDC DNA-binding transcriptional dual regulator	EV-EXP-IEP-NORTHERN
Regulation of xylFp by DNA-binding transcriptional dual regulator Fis	REG0-5048	Fis DNA-binding-site 22 bases downstream of xylFp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mdtAp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-11252	CpxR-phosphorylated DNA-binding-site 66.5 bases upstream of mdtAp	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of livH by DNA-binding transcriptional dual regulator Nac	REG0-14555	Nac DNA-binding-site (BS0-9875)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of ppsR by DNA-binding transcriptional dual regulator Cra	REG0-16558	Cra DNA-binding-site (BS0-10949)	DNA-binding transcriptional dual regulator Cra	EV-EXP-IEP-RNA-SEQ
Regulation of ybhQ by DNA-binding transcriptional dual regulator Lrp	REG0-15593	Lrp DNA-binding-site (BS0-10362)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of hdeDp2 by DNA-binding transcriptional dual regulator H-NS	REG0-15267	H-NS DNA-binding-site regulating hdeDp2	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ykgE by DNA-binding transcriptional dual regulator Lrp	REG0-15645	Lrp DNA-binding-site (BS0-10414)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of psuKG by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-13306	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating psuKG	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of ompCp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-4566	CpxR-phosphorylated DNA-binding-site 351 bases upstream of ompCp1	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR
Regulation of rrsDp by RNA polymerase-binding transcription factor DksA	REG0-15012		RNA polymerase-binding transcription factor DksA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IDA-PURIFIED-PROTEIN
Regulation of yefMp by antitoxin/DNA-binding transcriptional repressor YefM	REG0-11032	YefM DNA-binding-site 10.5 bases upstream of yefMp	antitoxin/DNA-binding transcriptional repressor YefM	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fecIp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-5769	DNA-binding transcriptional dual regulator Fur DNA-binding-site 7 bases upstream of fecIp	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Regulation of csgBp by DNA-binding transcriptional dual regulator CsgD	REG0-11056	CsgD DNA-binding-site 57.5 bases upstream of csgBp2	DNA-binding transcriptional dual regulator CsgD	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rrsGp by ppGpp	REG0-14928		ppGpp	EV-EXP-IMP
Regulation of srap by DNA-binding transcriptional dual regulator Fis	REG0-6301		DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of araBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-4761	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 54.5 bases upstream of araCp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rhlE by DNA-binding transcriptional dual regulator CecR	REG0-12523	CecR DNA-binding-site regulating rhlE	DNA-binding transcriptional dual regulator CecR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dinJ by DNA-binding transcriptional dual regulator Nac	REG0-14484	Nac DNA-binding-site regulating ldtF	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	REG0-4864	H-NS DNA-binding-site 84 bases downstream of proVp3	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR
Regulation of astCp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	REG0-6488	NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2	DNA-binding transcriptional dual regulator NtrC-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cytRp by DNA-binding transcriptional repressor CytR	REG0-10557	CytR DNA-binding-site 22 bases upstream of cytRp	DNA-binding transcriptional repressor CytR	EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of frlAp1 by DNA-binding transcriptional repressor FrlR	REG0-15772	FlrR DNA-binding-site 12.5 bases downstream of frlAp1	DNA-binding transcriptional repressor FrlR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hlyEp by DNA-binding transcriptional dual regulator Fis	REG0-9376	Fis DNA-binding-site 19 bases downstream of hlyEp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-15163	CpxR-phosphorylated DNA-binding-site 178 bases upstream of csgDp3	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hdeAp by DNA-binding transcriptional dual regulator Lrp-L-leucine	REG0-9403	Lrp-leu DNA-binding-site 18 bases upstream of hdeAp2	DNA-binding transcriptional dual regulator Lrp-L-leucine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dcm by DNA-binding transcriptional dual regulator Nac	REG0-14479	Nac DNA-binding-site (BS0-9815)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of entCp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-5408	DNA-binding transcriptional dual regulator Fur DNA-binding-site 25 bases downstream of entCp	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Regulation of gadBp by DNA-binding transcriptional dual regulator GadW	REG0-10983	GadW DNA-binding-site 119.5 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadW	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of comRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-11098	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 36.5 bases upstream of bhsAp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ybjX by DNA-binding transcriptional dual regulator Nac	REG0-14709	Nac DNA-binding-site (BS0-9882)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of glcA by DNA-binding transcriptional dual regulator Lrp	REG0-15466	Lrp DNA-binding-site (BS0-10235)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of dgoRp by DNA-binding transcriptional repressor DgoR	REG0-13129	DgoR DNA-binding-site 110 bases upstream of dgoRp	DNA-binding transcriptional repressor DgoR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of focA by DNA-binding transcriptional dual regulator FNR	REG0-14341	Fnr DNA-binding-site (BS0-9691)	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-MICROARRAY
Regulation of tsuA by DNA-binding transcriptional dual regulator Lrp	REG0-15618	Lrp DNA-binding-site (BS0-10387)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of focAp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-16186	CpxR-phosphorylated DNA-binding-site 87.5 bases upstream of focAp2	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-QRTPCR
Regulation of rseDp2 by DNA-binding transcriptional activator GlrR-phosphorylated	REG0-12596	GlrR-Pasp56 DNA-binding-site 90.5 bases upstream of rseDp1	DNA-binding transcriptional activator GlrR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of frdAp by DNA-binding transcriptional activator DcuR-phosphorylated	REG0-4638	DcuR-P DNA-binding-site 104 bases upstream of frdAp2	DNA-binding transcriptional activator DcuR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rnr by DNA-binding transcriptional dual regulator Lrp	REG0-15551	Lrp DNA-binding-site (BS0-10320)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of galEp2 by GalR-D-galactose	REG0-4660	GalR-galactose DNA-binding-site 60.5 bases upstream of galEp	GalR-D-galactose	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gltBp by DNA-binding transcriptional dual regulator FNR	REG0-5250	Fnr DNA-binding-site 26.5 bases upstream of gltBp2	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hemLp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	REG0-6067	PhoP-Pasp51 DNA-binding-site 31 bases upstream of hemLp	DNA-binding transcriptional dual regulator PhoP-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of tolC by DNA-binding transcriptional dual regulator OmpR-phosphorylated	REG0-14233	OmpR-P DNA-binding-site (BS0-9607)	DNA-binding transcriptional dual regulator OmpR-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of acnAp2 by DNA-binding transcriptional dual regulator Rob	REG0-10756	Rob DNA-binding-site 51.5 bases upstream of acnAp2	DNA-binding transcriptional dual regulator Rob	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of adap2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	REG0-15124	Ada DNA-binding-site 38.5 bases upstream of adap2	DNA-binding transcriptional dual regulator / DNA repair protein Ada	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of sdhCp by DNA-binding transcriptional dual regulator FNR	REG0-5862	Fnr DNA-binding-site regulating sdhCp	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hycAp by DNA-binding transcriptional dual regulator IHF	REG0-5777	IHF DNA-binding-site 127.5 bases upstream of hypAp	DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rpsMp2 by DksA-ppGpp	REG0-11168		DksA-ppGpp	EV-EXP-IMP,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IDA-PURIFIED-PROTEIN
Regulation of gntTp1 by DNA-binding transcriptional repressor GntR	REG0-5919	GntR DNA-binding-site 86.5 bases downstream of gntTp2	DNA-binding transcriptional repressor GntR	EV-EXP-TAS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dppA by DNA-binding transcriptional dual regulator Lrp	REG0-15443	Lrp DNA-binding-site (BS0-10212)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of rplVp by DksA-ppGpp	REG0-12324		DksA-ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of uspE by DNA-binding transcriptional dual regulator Lrp	REG0-14403	Lrp DNA-binding-site (BS0-9750)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-MICROARRAY
Regulation of gfcAp by DNA-binding transcriptional repressor YjjQ	REG0-12295	YjjQ DNA-binding-site 16 bases upstream of gfcAp	DNA-binding transcriptional repressor YjjQ	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ydcL by DNA-binding transcriptional dual regulator Rob	REG0-15790		DNA-binding transcriptional dual regulator Rob	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	REG0-5283	Lrp DNA-binding-site 149 bases upstream of dadAp3	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-MICROARRAY
Regulation of ynjH by DNA-binding transcriptional dual regulator Lrp	REG0-15646	Lrp DNA-binding-site (BS0-10415)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of alaSp by AlaS-L-alanine DNA-binding transcriptional repressor	REG0-6157	AlaS-L-alanine DNA-binding transcriptional repressor DNA-binding-site 6.5 bases upstream of alaSp	AlaS-L-alanine DNA-binding transcriptional repressor	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ssbp3 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5531	ArcA-Pasp54 DNA-binding-site 50.5 bases upstream of ssbp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fiup by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-6383	DNA-binding transcriptional dual regulator Fur DNA-binding-site 12 bases downstream of fiup	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-RNA-SEQ
Regulation of yobB by DNA-binding transcriptional dual regulator Nac	REG0-14811	Nac DNA-binding-site (BS0-9854)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of grxAp by DNA-binding transcriptional dual regulator OxyR	REG0-10670	OxyR DNA-binding-site 50 bases upstream of ybjCp	DNA-binding transcriptional dual regulator OxyR	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dksAp2 by DksA-ppGpp	REG0-11163		DksA-ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IMP,EV-EXP-IDA-PURIFIED-PROTEIN
Regulation of astC by DNA-binding transcriptional dual regulator Lrp	REG0-15415	Lrp DNA-binding-site (BS0-10184)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of pagPp by DNA-binding transcriptional dual regulator SlyA	REG0-13045	SlyA DNA-binding-site 10 bases upstream of pagPp	DNA-binding transcriptional dual regulator SlyA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of micFp2 by DNA-binding transcriptional dual regulator Lrp	REG0-14826	Lrp DNA-binding-site 87.5 bases downstream of micFp2	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dauA by DNA-binding transcriptional dual regulator YieP	REG0-16058	YieP DNA-binding-site (BS0-10602)	DNA-binding transcriptional dual regulator YieP	EV-EXP-IEP-RNA-SEQ
Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-11250	CpxR-phosphorylated DNA-binding-site 98 bases upstream of acrDp2	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-IC
Regulation of enop2 by DNA-binding transcriptional dual regulator Cra	REG0-5605	Cra DNA-binding-site 33.5 bases upstream of enop3	DNA-binding transcriptional dual regulator Cra	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of dtpB by ppGpp	REG0-13099		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of gadBp by DNA-binding transcriptional dual regulator GadX	REG0-10953	GadX DNA-binding-site 39.5 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of uvrBp2 by DNA-binding transcriptional repressor LexA	REG0-12978	LexA DNA-binding-site 167.5 bases upstream of uvrBp2	DNA-binding transcriptional repressor LexA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of pyrS by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14131	ArcA-Pasp54 DNA-binding-site (BS0-9533)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of oxyRp by DNA-binding transcriptional dual regulator OxyR	REG0-10695	OxyR DNA-binding-site 5 bases downstream of oxyRp2	DNA-binding transcriptional dual regulator OxyR	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of glnH by DNA-binding transcriptional activator ZraR-phosphorylated	REG0-15862	ZraR-Pasp56 DNA-binding-site (BS0-10479)	DNA-binding transcriptional activator ZraR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of patA by ppGpp	REG0-13052		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of acrZp by DNA-binding transcriptional dual regulator SoxS	REG0-11632	SoxS DNA-binding-site 40.5 bases upstream of acrZp	DNA-binding transcriptional dual regulator SoxS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hupBp2 by DNA-binding transcriptional dual regulator Fis	REG0-4971	Fis DNA-binding-site 141 bases downstream of hupBp3	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gltF by DNA-binding transcriptional repressor GlaR	REG0-14254	GlaR DNA-binding-site (BS0-9626)	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadX	REG0-15104	GadX DNA-binding-site 126.5 bases upstream of hdeAp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of acnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-4924	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of acnAp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cddp by DNA-binding transcriptional dual regulator NsrR	REG0-10487	NsrR DNA-binding-site 9 bases downstream of cddp	DNA-binding transcriptional dual regulator NsrR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cydA by DNA-binding transcriptional dual regulator Nac	REG0-14472	Nac DNA-binding-site (BS0-9810)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of ilvYp1 by DNA-binding transcriptional dual regulator IlvY	REG0-4709	DNA-binding transcriptional dual regulator IlvY DNA-binding-site 17 bases downstream of ilvYp2	DNA-binding transcriptional dual regulator IlvY	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-IC,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
