# Generated by /Users/albertzhang/devViv/vivarium-ecoli/reconstruction/ecoli/scripts/tf_binding_sites/convert_to_flat.py on Wed Aug 14 12:56:11 2024
"binding_site_id"	"coordinates"	"binding_TFs"	"regulated_TUs_or_genes"
"BS0-8823"	2221984	["G7072-MONOMER"]	["EG12013", "TU0-8787"]
"BS0-7271"	3354178	["CPLX0-228"]	["TU00182", "TU0-45182"]
"BS0-7176"	2976456	["PHOSPHO-OMPR"]	["TU0-8762"]
"BS0-8433"	3532692	["CPLX0-226"]	["TU00141"]
"BS0-3161"	1263652	["CPLX0-7797"]	["TU0-4201"]
"BS0-1144"	1842283	["G7072-MONOMER"]	["TU0-1201"]
"BS0-2081"	2405474	["CPLX0-7705"]	["TU00448"]
"BS0-7037"	2312925	["CPLX0-7748"]	["TU00049"]
"BS0-8396"	1451452	["G6706-MONOMER"]	["TU0-42552"]
"BS0-30"	3493913	["PHOSPHO-NARL"]	["TU00046"]
"BS0-7989"		["EG11966-MONOMER"]	["TU0-45231", "TU369"]
"BS0-3743"	3906724	["CPLX0-7705"]	["TU0-4802", "TU0-42515"]
"BS0-10438"	3539879	["PHOSPHO-OMPR"]	["TU00269"]
"BS00149"	3493922	["PHOSPHO-NARL"]	["TU00046"]
"BS00102"	728912	["CPLX0-7795"]	["TU00035"]
"BS0-7428"	4540091	["PC00027"]	["TU00410"]
"BS0-2401"	1330918	["CPLX0-7705"]	["TU0-2501"]
"BS00231"	85460	["PD00353"]	["TU0-6882", "TU00081"]
"BS0-4402"	4252431	["PC00027"]	["TU00369"]
"BS0-8056"	3840108	["PD01379"]	["TU0-8817"]
"BS0-7859"	4133746	["PD00214"]	["TU00034"]
"BS0-7304"	121608	["MONOMER0-162"]	["TU00012", "TU641"]
"BS00272"	3305880	["CPLX-125"]	["TU00093"]
"BS0-7726"	652060	["PHOSPHO-DPIA"]	["TU0-12999", "TU0-13000", "TU0-14750"]
"BS0-8587"	2710372	["PROTEIN-NRIP"]	["TU0-42638", "TU0-45282"]
"BS0-8939"	2985674	["CPLX0-226"]	["TU0-13757"]
"BS741"	4368522	["CPLX0-226"]	["TU00160", "TU0-6021"]
"BS0-8133"	2587484	["CPLX0-7748"]	["TU0-14793"]
"BS0-7738"	2520831	["CPLX0-7705"]	["TU0-6409", "TU00495"]
"BS00631"	1194884	["PC00061"]	["TU00425"]
"BS0-7127"	1712626	["PHOSPHO-OMPR"]	["TU0-8473"]
"BS00289"		["PHOSPHO-ARCA"]	["TU00103", "TU0-42509"]
"BS0-7285"	4235725	["PC00027"]	["TU0-14111", "TU0-14287"]
"BS00657"	2405270	["PHOSPHO-ARCA"]	["TU00310"]
"BS0-8388"		["CPLX0-7705"]	["TU0-36424", "TU0-13794"]
"BS116"	1277670	["CPLX0-7797"]	["TU00156"]
"BS0-2558"	4207746	["CPLX0-7705"]	["TU0-1186", "TU0-45277"]
"BS442"	1237502	["PD00353"]	["TU461", "TU462", "TU00255"]
"BS0-8397"	1447449	["G6706-MONOMER"]	["TU0-8795"]
"BS758"	1057988	["PHOSPHO-TORR", "TORR-CPLX"]	["TU793", "TU00212"]
"BS0-7917"	1103510	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-4222"	2832361	["PHOSPHO-NARL"]	["TU0-4441"]
"BS0-1142"	2062130	["PROTEIN-NRIP"]	["TU65"]
"BS0-7789"	1865720	["CPLX0-7756"]	["TU0-13399"]
"BS0-7947"	3378689	["CPLX0-7705"]	["TU00336"]
"BS0-4923"	3592430	["PHOSPHO-PHOB"]	["TU0-5982", "TU0-5981"]
"BS0-1601"	2662227	["CPLX0-8083"]	["TU0-1881"]
"BS0-9003"	1907931	["MONOMER0-4276"]	["TU0-14771"]
"BS0-7638"	2081344	["CPLX0-226"]	["TU0-14637"]
"BS0-7517"	1638764	["CPLX0-7705"]	["TU0-6981"]
"BS0-8247"	2949222	["CPLX0-228"]	["TU0-8472"]
"BS0-5103"	4246636	["CPLX0-226"]	["TU00038", "TU00123"]
"BS521"	1388862	["CPLX0-7797"]	["TU544"]
"BS0-1441"	1671297	["PHOSPHO-PHOB"]	["TU0-45276", "TU0-1701"]
"BS0-8004"	4201790	["PHOSPHO-HYDG"]	["TU782", "TU783"]
"BS0-3425"	42128	["PHOSPHO-ARCA"]	["TU00247"]
"BS0-3202"	1889913	["PD01520"]	["TU0-4187"]
"BS0-8136"	2153912	["CPLX0-7748"]	["TU0-7881"]
"BS0-5541"	4539993	["PD00266"]	["TU00410", "TU0-42544", "TU0-6843"]
"BS0-7933"	2884273	["PD00519"]	["TU0-13725"]
"BS0-8051"	1103802	["PD01379"]	["TU00390", "TU0-45224"]
"BS0-7560"	3656809	["MONOMER0-155"]	["TU0-45242", "TU00282"]
"BS0-5161"	3667534	["PHOSPHO-TORR"]	["TU0-45268", "TU586"]
"BS0-8260"	4166635	["MONOMER0-155"]	["TU0-1182", "TU0-45275"]
"BS768"	131376	["PHOSPHO-ARCA"]	["TU796"]
"BS772"	131348	["CPLX0-7705"]	["TU796"]
"BS0-5473"	792117	["PD00288"]	["TU0-42583", "TU00025", "TU0-45177", "TU0-42578", "TU0-42581", "TU0-45176", "TU0-45178", "TU0-45179"]
"BS0-7010"	4128616	["PHOSPHO-PHOP"]	["TU0-3741"]
"BS0-5524"	4539990	["CPLX0-226"]	["TU0-42544", "TU0-6843"]
"BS0-4803"	1311029	["CPLX0-7639"]	["TU00167"]
"BS0-8197"	1237332	["PD00353"]	["TU461", "TU462", "TU00255"]
"BS0-8549"	3719975	["CPLX0-7705"]	["TU0-1581"]
"BS0-8052"	1103778	["PD01379"]	["TU00390", "TU0-45224"]
"BS0-6783"	1946036	["PC00010"]	["TU00353"]
"BS0-7219"	255736	["PD01379"]	["TU0-8874"]
"BS0-8837"	2984200	["G7072-MONOMER"]	["TU0-13756"]
"BS0-8557"	1313992	["PHOSPHO-ARCA"]	["TU0-8813"]
"BS0-7425"	612686	["PD00288"]	["TU00270"]
"BS0-7955"	3216521	["G7594-MONOMER"]	["TU0-8327"]
"BS829"		["EG12031-MONOMER"]	["TU861"]
"BS0-7184"	3354482	["CPLX0-7797"]	["TU00182", "TU0-45182"]
"BS0-5902"	1932837	["PHOSPHO-PHOB"]	["TU27"]
"BS0-8508"	4595816	["CPLX0-8210"]	["TU0-14211", "TU0-8628"]
"BS0-10551"	2861297	["G7416-MONOMER"]	["TU0-13721"]
"BS0-5443"	3278834	["G7630-MONOMER"]	["TU0-6581"]
"BS0-2001"	3152054	["CPLX0-7639"]	["TU00265"]
"BS00615"		["CPLX0-7714"]	["TU00148"]
"BS0-7676"	1901972	["PC00061"]	["TU00196"]
"BS0-6742"	3278722	["G7630-MONOMER"]	["TU0-6582"]
"BS0-8995"	1103920	["MONOMER0-4276"]	["TU00390", "TU0-45224"]
"BS0-8881"	1256275	["G7072-MONOMER"]	["TU0-13178"]
"BS0-8790"	813446	["MONOMER0-160"]	["TU00070"]
"BS0-7745"	1215722	["G6602-MONOMER"]	["TU0-14762", "TU0-45166"]
"BS272"	3731008	["MONOMER0-165"]	["TU00374"]
"BS0-7986"		["CPLX0-7852"]	["TU0-8586"]
"BS00238"	3600894	["MONOMER0-160"]	["TU00084"]
"BS148"	1079104	["CPLX0-226"]	["TU122"]
"BS0-8116"	2911375	["CPLX0-841"]	["TU523", "TU522"]
"BS00466"	2710404	["CPLX0-7975"]	["TU00194"]
"BS0-6927"	1277852	["PHOSPHO-NARL"]	["TU00045"]
"BS00026"	1788280	["CPLX-125"]	["TU00010"]
"BS0-5450"	3281678	["G7630-MONOMER"]	["TU0-6583"]
"BS0-9009"	1397328	["PHOSPHO-ARCA"]	["TU0-13220"]
"BS0-7750"	3206365	["CPLX0-8048"]	["TU00368"]
"BS86"	4100738	["PHOSPHO-ARCA"]	["TU00064"]
"BS0-7502"	4246413	["CPLX0-7705"]	["TU00038"]
"BS0-1361"	1016518	["EG11394-MONOMER"]	["TU00092"]
"BS00292"		["PHOSPHO-ARCA"]	["TU00105"]
"BS0-3462"	1165935	["PHOSPHO-ARCA"]	["TU00158"]
"BS0-4082"	4419676	["G7854-MONOMER"]	["TU0-5163"]
"BS0-8022"	3667708	["EG12242-MONOMER"]	["TU0-45268", "TU586"]
"BS0-10867"	1610446	["PD00260"]	["TU0-36422"]
"BS0-2425"	2313110	["PD00353"]	["TU00049", "TU0-45164", "TU00476", "TU00477", "TU0-2644"]
"BS0-7975"	1610814	["CPLX0-226"]	["TU0-36422"]
"BS00531"	4354863	["PD00353"]	["TU00221"]
"BS0-9013"	2725814	["PHOSPHO-ARCA"]	["TU0-13674"]
"BS0-8989"	3532615	["CPLX0-7721"]	["TU00141"]
"BS0-6182"		["CPLX0-7797"]	["TU00336"]
"BS00034"	809282	["MONOMER-48"]	["TU00117", "TU00013"]
"BS0-7819"	3105598	["CPLX0-7740"]	["TU00129"]
"BS0-3763"	2303708	["CPLX0-6"]	["TU363", "TU00305"]
"BS00760"	2533438	["CPLX0-226"]	["TU00480", "TU00479", "TU0-45232"]
"BS00120"	4246696	["MONOMER0-158"]	["TU00038", "TU00123"]
"BS0-5642"	913954	["PHOSPHO-NARL"]	["TU0-7021", "TU0-42650"]
"BS0-8054"	1103316	["PD01379"]	["TU00392", "TU0-45257"]
"BS0-8734"	2002022	["PC00027"]	["TU00415"]
"BS0-7259"	2344556	["CPLX0-7705"]	["TU00047"]
"BS0-8152"		["PHOSPHO-CREB"]	["TU0-14026"]
"BS0-7834"	1988662	["PD00288"]	["TU0-13449"]
"BS0-8457"	2038878	["MONOMER0-4180"]	["TU0-13468"]
"BS0-8391"	4503626	["CPLX0-8593"]	["TU0-14183"]
"BS0-7588"	4233682	["PD00406"]	["TU0-6444", "TU0-45260"]
"BS0-8976"	1370196	["G6658-MONOMER"]	["TU0-13212"]
"BS0-7991"		["PD00288"]	["TU00096"]
"BS0-7842"	1622958	["PHOSPHO-PHOP"]	["TU0-14797"]
"BS0-7283"	2892088	["PC00027"]	["TU00078"]
"BS0-7438"	624888	["CPLX0-7639"]	["TU00166"]
"BS0-8455"		["G6745-MONOMER"]	["TU00415"]
"BS00340"	3756596	["CPLX0-226"]	["TU00138"]
"BS422"	1237528	["CPLX0-226"]	["TU461", "TU462"]
"BS0-7972"	4455692	["PC00061"]	["TU0-963", "TU0-45213"]
"BS00798"	755391	["CPLX0-226"]	["TU0-6702"]
"BS00652"	3210738	["PC00010"]	["TU00435"]
"BS0-8768"	468289	["PD00406"]	["TU0-12936"]
"BS506"	3950427	["PC00027"]	["TU525", "TU0-42517", "TU0-42516", "TU524"]
"BS0-7671"	3656908	["EG11544-MONOMER"]	["TU0-4903", "TU0-45279", "TU0-45242", "TU00282"]
"BS0-8295"	1686762	["CPLX0-226"]	["TU00105"]
"BS0-8243"		["G6165-MONOMER"]	["TU0-12880"]
"BS0-2350"	3493899	["PC00027"]	["TU00046"]
"BS0-8449"	1619064	["CPLX0-7748"]	["TU00190"]
"BS00063"	1399552	["CPLX0-7797"]	["TU00022"]
"BS0-7753"	2839432	["EG10087-MONOMER"]	["TU00241"]
"BS0-6998"	3270582	["CPLX0-7705"]	["TU543"]
"BS0-3222"	3867290	["CPLX0-7748"]	["TU0-6003"]
"BS00062"	3410204	["CPLX0-7705"]	["TU00021"]
"BS0-8685"	4595908	["CPLX0-226"]	["TU0-14211", "TU0-8628"]
"BS0-8517"		["G6664-MONOMER"]	["TU0-14473"]
"BS0-5183"	3888356	["PHOSPHO-TORR"]	["TU00085", "TU0-42514"]
"BS321"	576944	["CPLX0-226"]	["TU356"]
"BS0-8126"	4400124	["CPLX0-226"]	["TU0-14568"]
"BS0-8469"	1021002	["CPLX0-8312"]	["TU0-8679"]
"BS0-7299"	4404672	["CPLX-123"]	["TU00094"]
"BS00460"		["CPLX0-7796"]	["TU00191"]
"BS0-8358"	3648012	["PC00010"]	["TU0-8263"]
"BS00406"	3051030	["PD00339"]	["TU00170"]
"BS00586"	42078	["CPLX0-226"]	["TU00247"]
"BS0-4801"	3152060	["CPLX0-7639"]	["TU00265"]
"BS0-1581"	2349540	["PD04418"]	["TU0-1841"]
"BS00144"	1279612	["PHOSPHO-NARL"]	["TU00044"]
"BS0-2021"	1161633	["CPLX0-7639"]	["TU0-2581"]
"BS0-7535"	1230529	["CPLX0-7705"]	["TU581"]
"BS0-5182"	3888308	["PHOSPHO-TORR"]	["TU00085", "TU0-42514"]
"BS0-8027"	1572192	["EG12242-MONOMER"]	["TU0-45231", "TU369"]
"BS0-8393"	4503644	["CPLX0-8593"]	["TU0-14183"]
"BS0-8749"	3653933	["EG12243-MONOMER"]	["TU00096"]
"BS0-1983"	841654	["CPLX0-7639"]	["TU0-2521"]
"BS0-8026"	1572282	["EG12242-MONOMER"]	["TU0-45231", "TU369"]
"BS0-6970"	754924	["CPLX0-7639"]	["TU00524"]
"BS00148"	3493946	["CPLX0-7797"]	["TU00046"]
"BS00230"	85379	["PD00353"]	["TU0-6882", "TU00081"]
"BS641"	4046839	["MONOMER0-160"]	["TU661"]
"BS0-8953"	4101608	["EG12386-MONOMER"]	["TU0-14076"]
"BS541"	3561908	["CPLX0-226"]	["TU401", "TU00031"]
"BS00449"	3737432	["MONOMER0-158"]	["TU00137"]
"BS0-7282"	1441796	["CPLX0-2781"]	["TU0-13241"]
"BS61"	3772086	["CPLX0-226"]	["TU00193"]
"BS0-2265"	771168	["CPLX0-7797"]	["TU0-3161", "TU00100", "TU358", "TU0-3162"]
"BS0-8486"	1335084	["G7947-MONOMER"]	["TU0-13198"]
"BS0-7678"	2308696	["MONOMER0-155"]	["TU0-13560"]
"BS0-6977"	954719	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS0-7123"	2868182	["PHOSPHO-ARCA"]	["TU00442"]
"BS0-7534"	1230576	["CPLX0-7705"]	["TU581"]
"BS-7067"	4223659	["CPLX0-7605"]	["TU0-4288"]
"BS0-8964"	3169207	["EG12386-MONOMER"]	["G7574", "TU0-13833"]
"BS0-7835"	1988696	["PD00288"]	["TU0-13449"]
"BS0-6922"	1277718	["PHOSPHO-NARL"]	["TU00045"]
"BS0-3486"	4031042	["PHOSPHO-ARCA"]	["TU00215"]
"BS00193"	2823839	["PC00010"]	["TU0-4525", "TU00062"]
"BS0-4942"	1488202	["PHOSPHO-ARCA"]	["TU102"]
"BS0-1765"	222732	["CPLX0-7796"]	["TU0-2302"]
"BS0-2821"	3742736	["CPLX0-226"]	["TU592"]
"BS0-5467"	366374	["PD00288"]	["TU00036"]
"BS0-7730"		["PHOSPHO-DPIA"]	["TU00108"]
"BS0-8987"	4368593	["CPLX0-7721"]	["TU00160", "TU0-6021"]
"BS0-7186"	1313910	["CPLX0-7797"]	["TU0-8813"]
"BS00542"	2246812	["CPLX0-226"]	["TU00015", "TU00014"]
"BS0-6222"	2352582	["CPLX0-7797"]	["TU00216", "TU00030"]
"BS0-32"	3493913	["PHOSPHO-NARP"]	["TU00046"]
"BS0-1584"	1011624	["PD00365"]	["TU561", "TU0-45259"]
"BS0-3943"	1696124	["EG20249-MONOMER"]	["TU0-5081"]
"BS0-8408"	408496	["CPLX0-7916"]	["TU0-12916"]
"BS0-3483"	770877	["PHOSPHO-ARCA"]	["TU00100"]
"BS00081"	2352542	["CPLX0-226"]	["TU00216", "TU00030"]
"BS0-8492"	1351169	["PD01520"]	["TU0-42604"]
"BS0-7334"	2426900	["CPLX0-228"]	["TU0-14415"]
"BS0-2041"	2339500	["CPLX0-7705"]	["TU00140"]
"BS00282"	1986308	["CPLX-172"]	["TU00098", "TU0-45183"]
"BS00286"	451853	["PHOSPHO-ARCA"]	["TU00101"]
"BS0-8669"	3303382	["PD00365"]	["TU0-13879"]
"BS0-7136"	816856	["CPLX0-6"]	["TU0-1123"]
"BS0-8315"	1103642	["CPLX0-8597"]	["TU00392", "TU0-45257"]
"BS0-3472"	4100739	["PHOSPHO-ARCA"]	["TU00208"]
"BS0-7211"	1592500	["CPLX0-7425"]	["TU00284"]
"BS00049"	4616947	["PD01196"]	["TU00017"]
"BS0-6441"	3581034	["CPLX0-7639"]	["TU0-7662", "TU0-3401"]
"BS0-6464"	4605750	["CPLX0-7639"]	["TU0-7701", "TU0-8630"]
"BS0-4129"	4494544	["PD03585"]	["TU0-4682", "TU0-4681"]
"BS00101"	4133768	["PD00214"]	["TU00034"]
"BS0-7878"	922576	["G7571-MONOMER"]	["TU0-6486"]
"BS0-8778"	4242356	["MONOMER0-165"]	["TU0-14113"]
"BS0-7614"	577031	["CPLX0-7418"]	["TU356"]
"BS0-8497"		["PHOSPHO-NARP"]	["TU0-7741"]
"BS0-8098"		["CPLX0-7797"]	["TU-8382"]
"BS0-7321"	624855	["CPLX0-7639"]	["TU00166"]
"BS561"	1230510	["CPLX0-8563"]	["TU581"]
"BS0-1644"	3128187	["PHOSPHO-ARCA"]	["G7546", "TU0-1962"]
"BS0-7198"		["CPLX0-7797"]	["TU0-8691"]
"BS0-10465"		["CPLX0-8109"]	["TU-8411"]
"BS00312"	4436673	["CPLX0-226"]	["TU00120"]
"BS0-8872"	800236	["G7072-MONOMER"]	["TU0-8565"]
"BS00582"	2461274	["PHOSPHO-OMPR"]	["TU00080"]
"BS0-8871"	679653	["G7072-MONOMER"]	["G6355", "TU0-8562"]
"BS0-8805"		["PD02198"]	["TU787"]
"BS00637"	3600890	["CPLX0-226"]	["TU00084", "TU00083", "TU00427"]
"BS0-8414"	3231492	["EG10442-MONOMER"]	["TU0-13853"]
"BS0-1064"	1157591	["PD01896"]	["TU0-1142"]
"BS0-7911"	2849906	["MONOMER0-183"]	["TU0-8344", "TU00154"]
"BS0-7867"	3206290	["CPLX0-8048"]	["TU00368"]
"BS0-8952"	1272188	["EG12386-MONOMER"]	["TU00249", "TU0-8777"]
"BS0-8979"	3134088	["PD00519"]	["TU0-13817"]
"BS0-2901"	2441680	["PD01520"]	["TU0-1482"]
"BS0-8874"	801897	["G7072-MONOMER"]	["TU0-13043"]
"BS0-8824"	1621605	["G7072-MONOMER"]	["TU0-8705", "TU0-8704"]
"BS0-7888"	1335730	["PD00365"]	["TU794"]
"BS0-8143"		["CPLX0-7669"]	["TU0-6443"]
"BS0-3862"	3656866	["EG12243-MONOMER"]	["TU0-4903", "TU0-45279", "TU0-45242", "TU00282"]
"BS0-7313"	3486020	["CPLX0-7705"]	["TU0-14398", "TU0-14396"]
"BS0-1422"	656146	["CPLX0-7797"]	["TU0-1603"]
"BS601"		["PC00027"]	["TU00088"]
"BS0-10858"	384949	["CPLX0-7639"]	["TU0-198708"]
"BS681"	890820	["PD00214"]	["TU0-2101", "TU721"]
"BS0-1201"	3059703	["PHOSPHO-PHOB"]	["TU0-1341"]
"BS0-8547"	3719900	["CPLX0-7705"]	["TU0-1581"]
"BS0-8394"	3169736	["PHOSPHO-BASR"]	["TU-8387"]
"BS0-7649"	3664834	["EG12243-MONOMER"]	["TU0-5761", "TU0-14719"]
"BS0-7499"	2352564	["CPLX0-7705"]	["TU00216", "TU00030"]
"BS0-7016"		["CPLX0-7797"]	["TU0-3145"]
"BS0-7934"	2884429	["PD00519"]	["TU0-13725"]
"BS0-8256"	2185913	["CPLX0-7639"]	["TU0-13514"]
"BS00287"	754931	["PHOSPHO-ARCA"]	["TU00524"]
"BS0-8519"		["G6664-MONOMER"]	["TU00068"]
"BS0-8020"	4163532	["EG12243-MONOMER"]	["TU0-6281"]
"BS00363"	3244984	["PD03270"]	["TU0-5021", "TU00150"]
"BS0-7036"	987522	["CPLX0-7748"]	["TU00050", "TU0-45229"]
"BS0-8445"	1893820	["CPLX0-2781"]	["TU0-13416"]
"BS0-7260"	2344486	["CPLX0-7705"]	["TU00047"]
"BS0-8765"	4100767	["PD04132"]	["TU00064"]
"BS0-5022"	1329302	["CPLX0-226"]	["TU0-962"]
"BS0-8023"	3667685	["EG12242-MONOMER"]	["TU0-45268", "TU586"]
"BS0-5801"	1343518	["PHOSPHO-RCSB"]	["TU00388"]
"BS0-8681"	84045	["EG12123-MONOMER"]	["TU0-12807", "TU0-42656", "TU0-42475"]
"BS0-7838"	3068926	["MONOMER0-155"]	["TU0-13799"]
"BS0-7306"	358704	["MONOMER0-164"]	["TU0-14378", "TU00142"]
"BS0-8387"		["EG11554-MONOMER"]	["TU0-36424", "TU0-13794"]
"BS0-8105"		["PHOSPHO-RCSB"]	["TU0-7741"]
"BS0-7197"		["CPLX0-7797"]	["TU-8443"]
"BS0-8792"	2751734	["MONOMER0-160"]	["TU0-2"]
"BS0-8429"	2884408	["CPLX0-226"]	["TU0-13725"]
"BS463"	4200112	["CPLX0-226"]	["TU486"]
"BS0-8297"	1234895	["MONOMER-51"]	["TU0-14737"]
"BS0-7976"	2533513	["PD00266"]	["TU00479", "TU00481", "TU00480", "TU0-45232"]
"BS0-8333"	3883943	["MONOMER0-160"]	["TU593"]
"BS0-8028"	1572170	["EG12242-MONOMER"]	["TU0-45231", "TU369"]
"BS00681"	4118222	["CPLX0-226"]	["TU00173"]
"BS00591"	4611154	["CPLX0-226"]	["TU0-45234", "TU0-1981"]
"BS0-7164"	3545599	["G7326-MONOMER"]	["TU0-8481"]
"BS0-8960"	4473767	["EG12386-MONOMER"]	["G7880", "TU0-14172"]
"BS0-7628"	3927054	["CPLX0-7733"]	["TU0-14263", "TU00113", "TU00112", "TU0-14262"]
"BS0-7323"	612678	["CPLX0-7639"]	["TU00270", "TU00163"]
"BS0-7586"	1754684	["PHOSPHO-NARL"]	["TU0-14675"]
"BS00727"	4097637	["MONOMER-47"]	["TU00063", "TU0-45202"]
"BS0-8844"	1434163	["G7072-MONOMER"]	["TU0-13237"]
"BS0-8956"	2465613	["EG12386-MONOMER"]	["TU0-13599"]
"BS0-8325"	1447326	["PHOSPHO-PHOB"]	["TU0-42548"]
"BS144"	754926	["PHOSPHO-ARCA"]	["TU00524"]
"BS146"	1079166	["CPLX0-226"]	["TU122"]
"BS0-5501"	629766	["CPLX0-226"]	["TU0-6823"]
"BS0-2750"	4287571	["PC00027"]	["TU0-3723", "TU0-45241"]
"BS0-8205"		["CPLX0-8075"]	["TU00100"]
"BS0-7387"	2800610	["CPLX0-8061"]	["TU0-1022"]
"BS0-8922"	4283081	["G7072-MONOMER"]	["TU0-14125"]
"BS0-4206"	1157681	["PHOSPHO-ARCA"]	["TU0-1141"]
"BS0-8867"	569303	["G7072-MONOMER"]	["TU0-12973"]
"BS0-7497"	2352515	["CPLX0-7705"]	["TU00216", "TU00030"]
"BS0-7997"		["PD00288"]	["TU821"]
"BS0-7575"	3906792	["CPLX0-7916"]	["TU0-4802", "TU0-42564", "TU0-42515"]
"BS0-7561"	3656846	["MONOMER0-155"]	["TU0-45242", "TU00282"]
"BS0-7582"	1754628	["PHOSPHO-NARP"]	["TU0-14675"]
"BS0-10772"		["MONOMER0-46"]	["TU0-1184"]
"BS182"		["PD00288"]	["TU182"]
"BS0-1424"	656423	["PHOSPHO-ARCA"]	["TU0-1603"]
"BS0-8825"	997518	["G7072-MONOMER"]	["G6479", "TU0-13094"]
"BS0-4424"	2804799	["PD00288"]	["TU702"]
"BS41"	1488130	["CPLX0-226"]	["TU102"]
"BS0-2968"	102852	["PD02198"]	["TU00210", "TU0-45271"]
"BS423"	1237466	["CPLX0-226"]	["TU461", "TU462", "TU00255"]
"BS0-3341"	1292934	["CPLX0-7705"]	["TU00139"]
"BS0-7879"	3168580	["G7571-MONOMER"]	["TU0-13832"]
"BS0-7824"	1601318	["CPLX0-226"]	["TU0-7861", "TU0-13299"]
"BS00284"	412593	["CPLX-172"]	["TU00099"]
"BS0-7650"	3664834	["EG12242-MONOMER"]	["TU0-5761", "TU0-14719"]
"BS0-7831"	1988580	["PD00288"]	["TU0-13449"]
"BS0-8968"	1500439	["EG12386-MONOMER"]	["EG11883", "TU0-8701"]
"BS0-7562"	3656855	["MONOMER0-155"]	["TU0-45242", "TU00282"]
"BS00792"	4496311	["CPLX0-7705"]	["TU00506"]
"BS00326"	3105608	["CPLX0-226"]	["TU00129"]
"BS0-7996"		["PD00288"]	["TU0-7743"]
"BS0-7404"	2323292	["PHOSPHO-ATOC"]	["TU00114"]
"BS00512"	3267288	["PD03292"]	["TU00125"]
"BS0-6946"	4128530	["CPLX0-7639"]	["TU0-2707"]
"BS0-6965"	121924	["CPLX0-226"]	["TU0-45222", "TU00522"]
"BS0-1882"	4467329	["PHOSPHO-PHOP"]	["TU0-2443", "TU0-2422", "TU0-2442"]
"BS0-1981"	841642	["CPLX0-7639"]	["TU0-2521"]
"BS0-8252"	2908682	["PC00061"]	["TU0-14414", "TU0-14413", "TU0-14412"]
"BS00078"	4058215	["PROTEIN-NRIP"]	["TU00027", "TU0-5903", "TU0-5901", "TU00029"]
"BS0-5201"	4455690	["CPLX0-226"]	["TU0-963", "TU0-45213"]
"BS0-8915"	3632997	["G7072-MONOMER"]	["TU0-13953"]
"BS0-7974"	1610866	["PD03270"]	["TU0-36422"]
"BS0-8158"	3059694	["CPLX0-7671"]	["TU0-1341"]
"BS587"	4617176	["CPLX0-7705"]	["TU00018"]
"BS0-2002"	3410163	["CPLX0-7705"]	["TU00021"]
"BS0-8627"	2884238	["CPLX0-8563"]	["TU0-13725"]
"BS0-3465"	1166048	["PHOSPHO-ARCA"]	["TU00158"]
"BS0-5701"	3088212	["CPLX0-226"]	["TU0-7081"]
"BS344"	2313038	["PD00353"]	["TU00476", "TU00477"]
"BS0-8368"	1702154	["MONOMER-60"]	["TU0-13350"]
"BS441"	1237457	["PD00353"]	["TU461", "TU462", "TU00255"]
"BS0-2843"	4611056	["PC00027"]	["TU0-45234", "TU0-1981"]
"BS0-10503"		["G7688-MONOMER"]	["TU0-13901"]
"BS0-3925"	4554412	["PD03270"]	["TU0-5041"]
"BS0-7278"	785553	["CPLX0-7748"]	["TU00009"]
"BS0-8949"	366373	["PD00365"]	["TU00036"]
"BS0-8945"	2900462	["CPLX0-226"]	["TU0-13732"]
"BS00006"	70350	["PC00003"]	["TU00214", "TU00003"]
"BS0-8603"		["G7619-MONOMER"]	["TU0-13052"]
"BS0-7648"	2545662	["CPLX0-226"]	["TU0-14715", "TU0-14714", "TU0-45211"]
"BS00053"	4617217	["CPLX0-7740"]	["TU00018"]
"BS0-7731"		["PHOSPHO-DPIA"]	["TU0-14745"]
"BS0-8173"	652196	["PHOSPHO-NARL"]	["TU0-14751"]
"BS0-8285"	1078924	["PHOSPHO-BASR"]	["TU355"]
"BS00606"	4347410	["CPLX0-7797"]	["TU00159"]
"BS0-8997"	1103308	["MONOMER0-4276"]	["TU00392", "TU0-45257"]
"BS473"	461242	["CPLX0-7705"]	["TU489", "TU488"]
"BS0-7692"	1079114	["PUTA-MONOMER"]	["TU103"]
"BS0-7683"	3244858	["PD03270"]	["TU0-5021", "TU00150"]
"BS55"	3354357	["PD00353"]	["TU00182", "TU0-45182"]
"BS622"	4348870	["CPLX0-226"]	["TU00468"]
"BS0-6986"	4382424	["PHOSPHO-NARL"]	["TU00023", "TU0-45225"]
"BS0-7580"	1754684	["CPLX0-7797"]	["TU0-14675"]
"BS0-8999"	121831	["MONOMER0-4276"]	["TU0-45222", "TU00522"]
"BS0-3201"	1889827	["PD01520"]	["TU0-4187"]
"BS00061"	167439	["CPLX0-7639"]	["TU00020"]
"BS0-8481"	451584	["MONOMER0-4341"]	["TU00101"]
"BS0-8286"	1638950	["PHOSPHO-BASR"]	["TU0-6981"]
"BS0-6781"	1946036	["PC00010"]	["TU0-6661"]
"BS762"	131482	["CPLX0-226"]	["TU796"]
"BS0-8459"	3664664	["G6789-MONOMER"]	["TU0-14718"]
"BS0-8292"	1582570	["PD00266"]	["TU0-41795"]
"BS0-8924"	4370481	["G7072-MONOMER"]	["EG10600", "TU0-8610"]
"BS0-2344"		["PD00288"]	["TU00100"]
